section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/detectron2/COCO-Detection/faster_rcnn_R_101_C4_3x.onnx
summary,node_count,812
summary,input_count,1
summary,output_count,4
summary,num_params,52784220
summary,model_size,201.35581970214844
parameter_data_types,FLOAT,52784220
operators,Constant,"count=182, percentage=22.413793103448278"
operators,Sub,"count=14, percentage=1.7241379310344827"
operators,Div,"count=10, percentage=1.2315270935960592"
operators,ReduceMax,"count=2, percentage=0.24630541871921183"
operators,Gather,"count=54, percentage=6.65024630541872"
operators,Unsqueeze,"count=57, percentage=7.0197044334975365"
operators,Concat,"count=28, percentage=3.4482758620689653"
operators,Shape,"count=26, percentage=3.201970443349754"
operators,Cast,"count=32, percentage=3.9408866995073892"
operators,ConstantOfShape,"count=5, percentage=0.6157635467980296"
operators,Reshape,"count=24, percentage=2.955665024630542"
operators,Slice,"count=16, percentage=1.9704433497536946"
operators,Transpose,"count=9, percentage=1.1083743842364533"
operators,Pad,"count=1, percentage=0.12315270935960591"
operators,Conv,"count=107, percentage=13.177339901477833"
operators,Relu,"count=101, percentage=12.438423645320198"
operators,MaxPool,"count=1, percentage=0.12315270935960591"
operators,Add,"count=51, percentage=6.280788177339902"
operators,Mul,"count=23, percentage=2.832512315270936"
operators,Range,"count=2, percentage=0.24630541871921183"
operators,Expand,"count=5, percentage=0.6157635467980296"
operators,Flatten,"count=2, percentage=0.24630541871921183"
operators,Equal,"count=6, percentage=0.7389162561576355"
operators,Where,"count=3, percentage=0.3694581280788177"
operators,Clip,"count=13, percentage=1.600985221674877"
operators,Exp,"count=4, percentage=0.49261083743842365"
operators,TopK,"count=1, percentage=0.12315270935960591"
operators,Split,"count=4, percentage=0.49261083743842365"
operators,Squeeze,"count=4, percentage=0.49261083743842365"
operators,Greater,"count=3, percentage=0.3694581280788177"
operators,And,"count=1, percentage=0.12315270935960591"
operators,NonZero,"count=6, percentage=0.7389162561576355"
operators,GatherND,"count=5, percentage=0.6157635467980296"
operators,ReduceProd,"count=1, percentage=0.12315270935960591"
operators,If,"count=3, percentage=0.3694581280788177"
operators,RoiAlign,"count=1, percentage=0.12315270935960591"
operators,ReduceMean,"count=1, percentage=0.12315270935960591"
operators,Gemm,"count=2, percentage=0.24630541871921183"
operators,Softmax,"count=1, percentage=0.12315270935960591"
operators,NonMaxSuppression,"count=1, percentage=0.12315270935960591"
inputs,x.1,"dtype=FLOAT, shape=[3, 800, 1067]"
outputs,boxes.23,"dtype=FLOAT, shape=[0, 0]"
outputs,value.3,"dtype=INT64, shape=[0]"
outputs,value,"dtype=FLOAT, shape=[0]"
outputs,onnx::Split_538,"dtype=INT64, shape=[2]"
