section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/detectron2/COCO-Detection/faster_rcnn_R_50_DC5_3x.onnx
summary,node_count,707
summary,input_count,1
summary,output_count,4
summary,num_params,165596252
summary,model_size,631.6995697021484
parameter_data_types,FLOAT,165596252
operators,Identity,"count=10, percentage=1.4144271570014144"
operators,Constant,"count=182, percentage=25.742574257425744"
operators,Sub,"count=14, percentage=1.9801980198019802"
operators,Div,"count=10, percentage=1.4144271570014144"
operators,ReduceMax,"count=2, percentage=0.2828854314002829"
operators,Gather,"count=54, percentage=7.637906647807638"
operators,Unsqueeze,"count=57, percentage=8.062234794908061"
operators,Concat,"count=28, percentage=3.9603960396039604"
operators,Shape,"count=26, percentage=3.6775106082036775"
operators,Cast,"count=32, percentage=4.526166902404526"
operators,ConstantOfShape,"count=5, percentage=0.7072135785007072"
operators,Reshape,"count=24, percentage=3.3946251768033946"
operators,Slice,"count=16, percentage=2.263083451202263"
operators,Transpose,"count=9, percentage=1.272984441301273"
operators,Pad,"count=1, percentage=0.14144271570014144"
operators,Conv,"count=56, percentage=7.920792079207921"
operators,Relu,"count=52, percentage=7.355021216407355"
operators,MaxPool,"count=1, percentage=0.14144271570014144"
operators,Add,"count=34, percentage=4.809052333804809"
operators,Mul,"count=23, percentage=3.253182461103253"
operators,Range,"count=2, percentage=0.2828854314002829"
operators,Expand,"count=5, percentage=0.7072135785007072"
operators,Flatten,"count=3, percentage=0.4243281471004243"
operators,Equal,"count=6, percentage=0.8486562942008486"
operators,Where,"count=3, percentage=0.4243281471004243"
operators,Clip,"count=13, percentage=1.8387553041018387"
operators,Exp,"count=4, percentage=0.5657708628005658"
operators,TopK,"count=1, percentage=0.14144271570014144"
operators,Split,"count=4, percentage=0.5657708628005658"
operators,Squeeze,"count=4, percentage=0.5657708628005658"
operators,Greater,"count=3, percentage=0.4243281471004243"
operators,And,"count=1, percentage=0.14144271570014144"
operators,NonZero,"count=6, percentage=0.8486562942008486"
operators,GatherND,"count=5, percentage=0.7072135785007072"
operators,ReduceProd,"count=1, percentage=0.14144271570014144"
operators,If,"count=3, percentage=0.4243281471004243"
operators,RoiAlign,"count=1, percentage=0.14144271570014144"
operators,Gemm,"count=4, percentage=0.5657708628005658"
operators,Softmax,"count=1, percentage=0.14144271570014144"
operators,NonMaxSuppression,"count=1, percentage=0.14144271570014144"
inputs,x.1,"dtype=FLOAT, shape=[3, 800, 1067]"
outputs,boxes.23,"dtype=FLOAT, shape=[0, 0]"
outputs,value.3,"dtype=INT64, shape=[0]"
outputs,value,"dtype=FLOAT, shape=[0]"
outputs,onnx::Split_287,"dtype=INT64, shape=[2]"
