section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/detectron2/COCO-Detection/retinanet_R_101_FPN_3x.onnx
summary,node_count,1709
summary,input_count,1
summary,output_count,4
summary,num_params,56908148
summary,model_size,217.0873565673828
parameter_data_types,FLOAT,56908148
operators,Constant,"count=445, percentage=26.03861907548274"
operators,Sub,"count=27, percentage=1.579871269748391"
operators,Div,"count=22, percentage=1.2873025160912814"
operators,ReduceMax,"count=1, percentage=0.058513750731421885"
operators,Add,"count=75, percentage=4.388531304856641"
operators,Less,"count=1, percentage=0.058513750731421885"
operators,Xor,"count=1, percentage=0.058513750731421885"
operators,Mod,"count=1, percentage=0.058513750731421885"
operators,Equal,"count=10, percentage=0.5851375073142189"
operators,Not,"count=1, percentage=0.058513750731421885"
operators,And,"count=2, percentage=0.11702750146284377"
operators,Where,"count=9, percentage=0.5266237565827969"
operators,Mul,"count=61, percentage=3.5693387946167348"
operators,Gather,"count=122, percentage=7.1386775892334695"
operators,Unsqueeze,"count=127, percentage=7.43124634289058"
operators,Concat,"count=65, percentage=3.8033937975424226"
operators,Shape,"count=95, percentage=5.558806319485079"
operators,Cast,"count=59, percentage=3.452311293153891"
operators,ConstantOfShape,"count=9, percentage=0.5266237565827969"
operators,Reshape,"count=80, percentage=4.681100058513751"
operators,Slice,"count=34, percentage=1.989467524868344"
operators,Transpose,"count=24, percentage=1.4043300175541251"
operators,Pad,"count=1, percentage=0.058513750731421885"
operators,Conv,"count=162, percentage=9.479227618490345"
operators,Relu,"count=141, percentage=8.250438853130486"
operators,MaxPool,"count=1, percentage=0.058513750731421885"
operators,Resize,"count=2, percentage=0.11702750146284377"
operators,Range,"count=18, percentage=1.0532475131655938"
operators,Expand,"count=22, percentage=1.2873025160912814"
operators,Sigmoid,"count=5, percentage=0.29256875365710944"
operators,Greater,"count=7, percentage=0.40959625511995323"
operators,NonZero,"count=13, percentage=0.7606787595084844"
operators,GatherND,"count=8, percentage=0.4681100058513751"
operators,Clip,"count=19, percentage=1.1117612638970158"
operators,TopK,"count=5, percentage=0.29256875365710944"
operators,Split,"count=6, percentage=0.3510825043885313"
operators,Squeeze,"count=12, percentage=0.7021650087770626"
operators,Exp,"count=10, percentage=0.5851375073142189"
operators,ReduceProd,"count=1, percentage=0.058513750731421885"
operators,If,"count=1, percentage=0.058513750731421885"
operators,ScatterND,"count=4, percentage=0.23405500292568754"
inputs,x.1,"dtype=FLOAT, shape=[3, 800, 1067]"
outputs,b.11,"dtype=FLOAT, shape=[0, 4]"
outputs,value.59,"dtype=INT64, shape=[0]"
outputs,value.55,"dtype=FLOAT, shape=[0]"
outputs,onnx::Split_2180,"dtype=INT64, shape=[2]"
