section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/detectron2/COCO-Detection/rpn_R_50_C4_1x.onnx
summary,node_count,705
summary,input_count,1
summary,output_count,3
summary,num_params,18043083
summary,model_size,68.82889938354492
parameter_data_types,FLOAT,18043083
operators,Constant,"count=198, percentage=28.085106382978726"
operators,Sub,"count=12, percentage=1.702127659574468"
operators,Div,"count=5, percentage=0.7092198581560284"
operators,ReduceMax,"count=1, percentage=0.14184397163120568"
operators,Gather,"count=48, percentage=6.808510638297872"
operators,Unsqueeze,"count=45, percentage=6.382978723404255"
operators,Concat,"count=28, percentage=3.9716312056737593"
operators,Shape,"count=46, percentage=6.524822695035461"
operators,Cast,"count=31, percentage=4.397163120567376"
operators,ConstantOfShape,"count=11, percentage=1.5602836879432624"
operators,Reshape,"count=28, percentage=3.9716312056737593"
operators,Slice,"count=20, percentage=2.8368794326241136"
operators,Transpose,"count=8, percentage=1.1347517730496455"
operators,Pad,"count=1, percentage=0.14184397163120568"
operators,Conv,"count=46, percentage=6.524822695035461"
operators,Relu,"count=41, percentage=5.815602836879433"
operators,MaxPool,"count=1, percentage=0.14184397163120568"
operators,Add,"count=25, percentage=3.546099290780142"
operators,Mul,"count=22, percentage=3.120567375886525"
operators,Range,"count=10, percentage=1.4184397163120568"
operators,Expand,"count=15, percentage=2.127659574468085"
operators,Flatten,"count=2, percentage=0.28368794326241137"
operators,Equal,"count=10, percentage=1.4184397163120568"
operators,Where,"count=9, percentage=1.276595744680851"
operators,Clip,"count=11, percentage=1.5602836879432624"
operators,Exp,"count=2, percentage=0.28368794326241137"
operators,TopK,"count=1, percentage=0.14184397163120568"
operators,Split,"count=2, percentage=0.28368794326241137"
operators,Squeeze,"count=4, percentage=0.5673758865248227"
operators,Greater,"count=4, percentage=0.5673758865248227"
operators,And,"count=2, percentage=0.28368794326241137"
operators,NonZero,"count=5, percentage=0.7092198581560284"
operators,GatherND,"count=5, percentage=0.7092198581560284"
operators,ReduceProd,"count=1, percentage=0.14184397163120568"
operators,If,"count=1, percentage=0.14184397163120568"
operators,ScatterND,"count=4, percentage=0.5673758865248227"
inputs,x.1,"dtype=FLOAT, shape=[3, 800, 1067]"
outputs,value.3,"dtype=FLOAT, shape=[0]"
outputs,b.19,"dtype=FLOAT, shape=[0, 4]"
outputs,onnx::Split_736,"dtype=INT64, shape=[2]"
