section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/detectron2/COCO-InstanceSegmentation/mask_rcnn_R_50_C4_1x/mask_rcnn_R_50_C4_1x.onnx
summary,node_count,817
summary,input_count,1
summary,output_count,5
summary,num_params,35936172
summary,model_size,137.0856170654297
parameter_data_types,FLOAT,35936172
operators,Identity,"count=20, percentage=2.4479804161566707"
operators,Constant,"count=206, percentage=25.21419828641371"
operators,Sub,"count=14, percentage=1.7135862913096693"
operators,Div,"count=10, percentage=1.2239902080783354"
operators,ReduceMax,"count=2, percentage=0.24479804161566704"
operators,Gather,"count=63, percentage=7.711138310893513"
operators,Unsqueeze,"count=62, percentage=7.588739290085679"
operators,Concat,"count=35, percentage=4.283965728274174"
operators,Shape,"count=32, percentage=3.9167686658506726"
operators,Cast,"count=35, percentage=4.283965728274174"
operators,ConstantOfShape,"count=7, percentage=0.8567931456548347"
operators,Reshape,"count=27, percentage=3.3047735618115053"
operators,Slice,"count=17, percentage=2.08078335373317"
operators,Transpose,"count=9, percentage=1.101591187270502"
operators,Pad,"count=1, percentage=0.12239902080783352"
operators,Conv,"count=67, percentage=8.200734394124847"
operators,Relu,"count=60, percentage=7.343941248470013"
operators,MaxPool,"count=1, percentage=0.12239902080783352"
operators,Add,"count=39, percentage=4.773561811505508"
operators,Mul,"count=26, percentage=3.182374541003672"
operators,Range,"count=3, percentage=0.36719706242350064"
operators,Expand,"count=7, percentage=0.8567931456548347"
operators,Flatten,"count=3, percentage=0.36719706242350064"
operators,Equal,"count=9, percentage=1.101591187270502"
operators,Where,"count=5, percentage=0.6119951040391677"
operators,Clip,"count=13, percentage=1.591187270501836"
operators,Exp,"count=4, percentage=0.4895960832313341"
operators,TopK,"count=1, percentage=0.12239902080783352"
operators,Split,"count=6, percentage=0.7343941248470013"
operators,Squeeze,"count=4, percentage=0.4895960832313341"
operators,Greater,"count=3, percentage=0.36719706242350064"
operators,And,"count=1, percentage=0.12239902080783352"
operators,NonZero,"count=6, percentage=0.7343941248470013"
operators,GatherND,"count=5, percentage=0.6119951040391677"
operators,ReduceProd,"count=1, percentage=0.12239902080783352"
operators,If,"count=4, percentage=0.4895960832313341"
operators,RoiAlign,"count=2, percentage=0.24479804161566704"
operators,ReduceMean,"count=1, percentage=0.12239902080783352"
operators,Gemm,"count=2, percentage=0.24479804161566704"
operators,Softmax,"count=1, percentage=0.12239902080783352"
operators,NonMaxSuppression,"count=1, percentage=0.12239902080783352"
operators,ConvTranspose,"count=1, percentage=0.12239902080783352"
operators,Sigmoid,"count=1, percentage=0.12239902080783352"
inputs,x.1,"dtype=FLOAT, shape=[3, 800, 1067]"
outputs,boxes.23,"dtype=FLOAT, shape=[0, 0]"
outputs,value.3,"dtype=INT64, shape=[0]"
outputs,value.7,"dtype=FLOAT, shape=[0, 0, 0, 0]"
outputs,value,"dtype=FLOAT, shape=[0]"
outputs,onnx::Split_287,"dtype=INT64, shape=[2]"
