section,key,value
summary,model,./onnx_ckpts/mmdet/dynamic/mask-rcnn_x101-32x8d_fpn_ms-poly-3x_coco.onnx
summary,node_count,1273
summary,input_count,1
summary,output_count,3
summary,num_params,107529395
summary,model_size,410.19208908081055
parameter_data_types,FLOAT,107529329
parameter_data_types,INT64,66
operators,Shape,"count=118, percentage=9.26944226237235"
operators,Slice,"count=27, percentage=2.1209740769835035"
operators,Conv,"count=132, percentage=10.369206598586016"
operators,Relu,"count=112, percentage=8.798114689709347"
operators,MaxPool,"count=2, percentage=0.15710919088766695"
operators,Add,"count=99, percentage=7.776904948939513"
operators,Gather,"count=190, percentage=14.925373134328357"
operators,Concat,"count=85, percentage=6.677140612725845"
operators,Resize,"count=3, percentage=0.2356637863315004"
operators,Range,"count=19, percentage=1.4925373134328357"
operators,Mul,"count=62, percentage=4.870384917517675"
operators,Unsqueeze,"count=90, percentage=7.0699135899450125"
operators,Tile,"count=13, percentage=1.021209740769835"
operators,Reshape,"count=92, percentage=7.227022780832678"
operators,Cast,"count=21, percentage=1.6496465043205029"
operators,Transpose,"count=22, percentage=1.728201099764336"
operators,Sigmoid,"count=6, percentage=0.4713275726630008"
operators,Squeeze,"count=22, percentage=1.728201099764336"
operators,Less,"count=9, percentage=0.7069913589945012"
operators,Where,"count=13, percentage=1.021209740769835"
operators,TopK,"count=9, percentage=0.7069913589945012"
operators,Flatten,"count=29, percentage=2.2780832678711707"
operators,Sub,"count=9, percentage=0.7069913589945012"
operators,Clip,"count=12, percentage=0.9426551453260016"
operators,Exp,"count=2, percentage=0.15710919088766695"
operators,Div,"count=12, percentage=0.9426551453260016"
operators,ReduceMax,"count=2, percentage=0.15710919088766695"
operators,NonMaxSuppression,"count=2, percentage=0.15710919088766695"
operators,Expand,"count=3, percentage=0.2356637863315004"
operators,Equal,"count=11, percentage=0.864100549882168"
operators,ConstantOfShape,"count=8, percentage=0.6284367635506678"
operators,Sqrt,"count=2, percentage=0.15710919088766695"
operators,Log,"count=2, percentage=0.15710919088766695"
operators,Floor,"count=2, percentage=0.15710919088766695"
operators,NonZero,"count=8, percentage=0.6284367635506678"
operators,RoiAlign,"count=8, percentage=0.6284367635506678"
operators,ScatterND,"count=8, percentage=0.6284367635506678"
operators,Gemm,"count=4, percentage=0.3142183817753339"
operators,Softmax,"count=1, percentage=0.07855459544383347"
operators,ArgMax,"count=1, percentage=0.07855459544383347"
operators,ConvTranspose,"count=1, percentage=0.07855459544383347"
inputs,input,"dtype=FLOAT, shape=[0, 3, 0, 0]"
outputs,dets,"dtype=FLOAT, shape=[0, 0, 0]"
outputs,labels,"dtype=INT64, shape=[0, 0]"
outputs,masks,"dtype=FLOAT, shape=[0, 0, 0, 0]"
