section,key,value
summary,model,./onnx_ckpts/mmdet/dynamic/ssdlite_mobilenetv2-scratch_8xb24-600e_coco.onnx
summary,node_count,760
summary,input_count,1
summary,output_count,2
summary,num_params,4204569
summary,model_size,16.03915786743164
parameter_data_types,FLOAT,4204539
parameter_data_types,INT64,30
operators,Shape,"count=78, percentage=10.263157894736842"
operators,Slice,"count=18, percentage=2.368421052631579"
operators,Conv,"count=88, percentage=11.578947368421053"
operators,Clip,"count=64, percentage=8.421052631578947"
operators,Add,"count=53, percentage=6.973684210526315"
operators,Gather,"count=113, percentage=14.868421052631579"
operators,Range,"count=15, percentage=1.9736842105263157"
operators,Cast,"count=16, percentage=2.1052631578947367"
operators,Mul,"count=47, percentage=6.184210526315789"
operators,Unsqueeze,"count=52, percentage=6.842105263157896"
operators,Tile,"count=14, percentage=1.8421052631578945"
operators,Reshape,"count=65, percentage=8.552631578947368"
operators,Concat,"count=48, percentage=6.315789473684211"
operators,Transpose,"count=14, percentage=1.8421052631578945"
operators,Softmax,"count=6, percentage=0.7894736842105263"
operators,ReduceMax,"count=7, percentage=0.9210526315789472"
operators,Less,"count=8, percentage=1.0526315789473684"
operators,Where,"count=10, percentage=1.3157894736842104"
operators,TopK,"count=8, percentage=1.0526315789473684"
operators,Flatten,"count=24, percentage=3.1578947368421053"
operators,Sub,"count=2, percentage=0.2631578947368421"
operators,Exp,"count=1, percentage=0.13157894736842105"
operators,Div,"count=4, percentage=0.5263157894736842"
operators,NonMaxSuppression,"count=1, percentage=0.13157894736842105"
operators,Expand,"count=1, percentage=0.13157894736842105"
operators,Equal,"count=1, percentage=0.13157894736842105"
operators,ConstantOfShape,"count=2, percentage=0.2631578947368421"
inputs,input,"dtype=FLOAT, shape=[0, 3, 0, 0]"
outputs,dets,"dtype=FLOAT, shape=[0, 0, 0]"
outputs,labels,"dtype=INT64, shape=[0, 0]"
