section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/mmyolo/dynamic/ppyoloe_plus_s_fast_8xb8-80e_coco.onnx
summary,node_count,541
summary,input_count,1
summary,output_count,2
summary,num_params,7918114
summary,model_size,30.20520782470703
parameter_data_types,FLOAT,7918092
parameter_data_types,INT64,22
operators,Conv,"count=86, percentage=15.89648798521257"
operators,Sigmoid,"count=74, percentage=13.67837338262477"
operators,Mul,"count=98, percentage=18.11460258780037"
operators,Add,"count=28, percentage=5.175600739371535"
operators,Concat,"count=41, percentage=7.578558225508318"
operators,ReduceMean,"count=4, percentage=0.7393715341959335"
operators,Div,"count=4, percentage=0.7393715341959335"
operators,Clip,"count=4, percentage=0.7393715341959335"
operators,MaxPool,"count=3, percentage=0.5545286506469501"
operators,Resize,"count=2, percentage=0.36968576709796674"
operators,Shape,"count=27, percentage=4.990757855822551"
operators,Gather,"count=44, percentage=8.133086876155268"
operators,GlobalAveragePool,"count=3, percentage=0.5545286506469501"
operators,Unsqueeze,"count=27, percentage=4.990757855822551"
operators,Reshape,"count=31, percentage=5.730129390018484"
operators,Transpose,"count=14, percentage=2.5878003696857674"
operators,Softmax,"count=3, percentage=0.5545286506469501"
operators,Range,"count=9, percentage=1.6635859519408502"
operators,Cast,"count=6, percentage=1.1090573012939002"
operators,Expand,"count=7, percentage=1.2939001848428837"
operators,ConstantOfShape,"count=5, percentage=0.9242144177449169"
operators,Sub,"count=2, percentage=0.36968576709796674"
operators,ReduceMax,"count=1, percentage=0.18484288354898337"
operators,Less,"count=2, percentage=0.36968576709796674"
operators,Where,"count=4, percentage=0.7393715341959335"
operators,TopK,"count=2, percentage=0.36968576709796674"
operators,Flatten,"count=6, percentage=1.1090573012939002"
operators,NonMaxSuppression,"count=1, percentage=0.18484288354898337"
operators,Tile,"count=2, percentage=0.36968576709796674"
operators,Equal,"count=1, percentage=0.18484288354898337"
inputs,input,"dtype=FLOAT, shape=[0, 3, 0, 0]"
outputs,dets,"dtype=FLOAT, shape=[0, 0, 0]"
outputs,labels,"dtype=INT64, shape=[0, 0]"
