section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/mmyolo/dynamic/ppyoloe_plus_x_fast_8xb8-80e_coco.onnx
summary,node_count,757
summary,input_count,1
summary,output_count,2
summary,num_params,98395138
summary,model_size,375.34766387939453
parameter_data_types,FLOAT,98395116
parameter_data_types,INT64,22
operators,Conv,"count=152, percentage=20.079260237780712"
operators,Sigmoid,"count=140, percentage=18.494055482166445"
operators,Mul,"count=164, percentage=21.66446499339498"
operators,Add,"count=46, percentage=6.07661822985469"
operators,Concat,"count=41, percentage=5.416116248348745"
operators,ReduceMean,"count=4, percentage=0.5284015852047557"
operators,Div,"count=4, percentage=0.5284015852047557"
operators,Clip,"count=4, percentage=0.5284015852047557"
operators,MaxPool,"count=3, percentage=0.3963011889035667"
operators,Resize,"count=2, percentage=0.26420079260237783"
operators,Shape,"count=27, percentage=3.5667107001321003"
operators,Gather,"count=44, percentage=5.812417437252312"
operators,GlobalAveragePool,"count=3, percentage=0.3963011889035667"
operators,Unsqueeze,"count=27, percentage=3.5667107001321003"
operators,Reshape,"count=31, percentage=4.095112285336857"
operators,Transpose,"count=14, percentage=1.8494055482166447"
operators,Softmax,"count=3, percentage=0.3963011889035667"
operators,Range,"count=9, percentage=1.1889035667107"
operators,Cast,"count=6, percentage=0.7926023778071334"
operators,Expand,"count=7, percentage=0.9247027741083224"
operators,ConstantOfShape,"count=5, percentage=0.6605019815059445"
operators,Sub,"count=2, percentage=0.26420079260237783"
operators,ReduceMax,"count=1, percentage=0.13210039630118892"
operators,Less,"count=2, percentage=0.26420079260237783"
operators,Where,"count=4, percentage=0.5284015852047557"
operators,TopK,"count=2, percentage=0.26420079260237783"
operators,Flatten,"count=6, percentage=0.7926023778071334"
operators,NonMaxSuppression,"count=1, percentage=0.13210039630118892"
operators,Tile,"count=2, percentage=0.26420079260237783"
operators,Equal,"count=1, percentage=0.13210039630118892"
inputs,input,"dtype=FLOAT, shape=[0, 3, 0, 0]"
outputs,dets,"dtype=FLOAT, shape=[0, 0, 0]"
outputs,labels,"dtype=INT64, shape=[0, 0]"
