section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/mmyolo/dynamic/rtmdet_s_syncbn_fast_8xb32-300e_coco.onnx
summary,node_count,513
summary,input_count,1
summary,output_count,2
summary,num_params,10054155
summary,model_size,38.35355758666992
parameter_data_types,FLOAT,10054131
parameter_data_types,INT64,24
operators,Conv,"count=92, percentage=17.93372319688109"
operators,Sigmoid,"count=83, percentage=16.17933723196881"
operators,Mul,"count=104, percentage=20.2729044834308"
operators,Add,"count=14, percentage=2.729044834307992"
operators,Concat,"count=37, percentage=7.212475633528265"
operators,GlobalAveragePool,"count=4, percentage=0.7797270955165692"
operators,HardSigmoid,"count=4, percentage=0.7797270955165692"
operators,MaxPool,"count=3, percentage=0.5847953216374269"
operators,Resize,"count=2, percentage=0.3898635477582846"
operators,Shape,"count=24, percentage=4.678362573099415"
operators,Gather,"count=38, percentage=7.4074074074074066"
operators,Range,"count=9, percentage=1.7543859649122806"
operators,Cast,"count=6, percentage=1.1695906432748537"
operators,Reshape,"count=28, percentage=5.458089668615984"
operators,Expand,"count=7, percentage=1.364522417153996"
operators,Unsqueeze,"count=24, percentage=4.678362573099415"
operators,ConstantOfShape,"count=5, percentage=0.9746588693957114"
operators,Transpose,"count=8, percentage=1.5594541910331383"
operators,Sub,"count=2, percentage=0.3898635477582846"
operators,ReduceMax,"count=1, percentage=0.1949317738791423"
operators,Less,"count=2, percentage=0.3898635477582846"
operators,Where,"count=4, percentage=0.7797270955165692"
operators,TopK,"count=2, percentage=0.3898635477582846"
operators,Flatten,"count=6, percentage=1.1695906432748537"
operators,NonMaxSuppression,"count=1, percentage=0.1949317738791423"
operators,Tile,"count=2, percentage=0.3898635477582846"
operators,Equal,"count=1, percentage=0.1949317738791423"
inputs,input,"dtype=FLOAT, shape=[0, 3, 0, 0]"
outputs,dets,"dtype=FLOAT, shape=[0, 0, 0]"
outputs,labels,"dtype=INT64, shape=[0, 0]"
