section,key,value
summary,model,./coat_lite_medium.onnx
summary,node_count,4768
summary,input_count,1
summary,output_count,1
summary,num_params,44571048
summary,model_size,170.84654903411865
parameter_data_types,FLOAT,44571048
operators,Constant,"count=1473, percentage=30.893456375838923"
operators,Shape,"count=256, percentage=5.369127516778524"
operators,Gather,"count=222, percentage=4.656040268456376"
operators,Conv,"count=112, percentage=2.348993288590604"
operators,Slice,"count=169, percentage=3.5444630872483223"
operators,Concat,"count=258, percentage=5.4110738255033555"
operators,Reshape,"count=227, percentage=4.760906040268456"
operators,Transpose,"count=223, percentage=4.677013422818792"
operators,ReduceMean,"count=118, percentage=2.4748322147651005"
operators,Sub,"count=59, percentage=1.2374161073825503"
operators,Pow,"count=59, percentage=1.2374161073825503"
operators,Add,"count=361, percentage=7.571308724832216"
operators,Sqrt,"count=59, percentage=1.2374161073825503"
operators,Div,"count=113, percentage=2.3699664429530203"
operators,Mul,"count=198, percentage=4.152684563758389"
operators,Unsqueeze,"count=358, percentage=7.508389261744966"
operators,ConstantOfShape,"count=31, percentage=0.6501677852348994"
operators,Equal,"count=4, percentage=0.08389261744966443"
operators,Where,"count=4, percentage=0.08389261744966443"
operators,Expand,"count=4, percentage=0.08389261744966443"
operators,MatMul,"count=162, percentage=3.3976510067114094"
operators,Cast,"count=81, percentage=1.6988255033557047"
operators,Split,"count=54, percentage=1.1325503355704698"
operators,Squeeze,"count=81, percentage=1.6988255033557047"
operators,Softmax,"count=27, percentage=0.5662751677852349"
operators,Pad,"count=27, percentage=0.5662751677852349"
operators,Erf,"count=27, percentage=0.5662751677852349"
operators,Gemm,"count=1, percentage=0.02097315436241611"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
