section,key,value
summary,model,./convnextv2_base.onnx
summary,node_count,1620
summary,input_count,1
summary,output_count,1
summary,num_params,88717800
summary,model_size,338.7494525909424
parameter_data_types,FLOAT,88717800
operators,Conv,"count=40, percentage=2.4691358024691357"
operators,Transpose,"count=82, percentage=5.061728395061729"
operators,ReduceMean,"count=118, percentage=7.28395061728395"
operators,Sub,"count=41, percentage=2.5308641975308643"
operators,Constant,"count=334, percentage=20.617283950617285"
operators,Pow,"count=113, percentage=6.9753086419753085"
operators,Add,"count=334, percentage=20.617283950617285"
operators,Sqrt,"count=41, percentage=2.5308641975308643"
operators,Div,"count=113, percentage=6.9753086419753085"
operators,Mul,"count=221, percentage=13.641975308641976"
operators,MatMul,"count=72, percentage=4.444444444444445"
operators,Erf,"count=36, percentage=2.2222222222222223"
operators,Abs,"count=36, percentage=2.2222222222222223"
operators,ReduceSum,"count=36, percentage=2.2222222222222223"
operators,GlobalAveragePool,"count=1, percentage=0.06172839506172839"
operators,Flatten,"count=1, percentage=0.06172839506172839"
operators,Gemm,"count=1, percentage=0.06172839506172839"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
