section,key,value
summary,model,./dla34.onnx
summary,node_count,97
summary,input_count,1
summary,output_count,1
summary,num_params,15734360
summary,model_size,60.040428161621094
parameter_data_types,FLOAT,15734360
operators,Conv,"count=38, percentage=39.175257731958766"
operators,Relu,"count=33, percentage=34.02061855670103"
operators,MaxPool,"count=6, percentage=6.185567010309279"
operators,Add,"count=12, percentage=12.371134020618557"
operators,Concat,"count=6, percentage=6.185567010309279"
operators,GlobalAveragePool,"count=1, percentage=1.0309278350515463"
operators,Flatten,"count=1, percentage=1.0309278350515463"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
