section,key,value
summary,model,./dpn68b.onnx
summary,node_count,306
summary,input_count,1
summary,output_count,1
summary,num_params,12610588
summary,model_size,48.17354774475098
parameter_data_types,FLOAT,12610588
operators,Identity,"count=8, percentage=2.6143790849673203"
operators,Conv,"count=94, percentage=30.718954248366014"
operators,Relu,"count=72, percentage=23.52941176470588"
operators,MaxPool,"count=1, percentage=0.32679738562091504"
operators,BatchNormalization,"count=27, percentage=8.823529411764707"
operators,Constant,"count=32, percentage=10.457516339869281"
operators,Slice,"count=8, percentage=2.6143790849673203"
operators,Add,"count=22, percentage=7.18954248366013"
operators,Concat,"count=40, percentage=13.071895424836603"
operators,GlobalAveragePool,"count=1, percentage=0.32679738562091504"
operators,Flatten,"count=1, percentage=0.32679738562091504"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
