section,key,value
summary,model,./edgenext_small_rw.onnx
summary,node_count,977
summary,input_count,1
summary,output_count,1
summary,num_params,7826512
summary,model_size,30.04256534576416
parameter_data_types,FLOAT,7826512
operators,Conv,"count=23, percentage=2.3541453428863868"
operators,Transpose,"count=51, percentage=5.220061412487206"
operators,ReduceMean,"count=46, percentage=4.7082906857727735"
operators,Sub,"count=23, percentage=2.3541453428863868"
operators,Constant,"count=211, percentage=21.596724667349026"
operators,Pow,"count=35, percentage=3.5823950870010237"
operators,Add,"count=136, percentage=13.920163766632548"
operators,Sqrt,"count=23, percentage=2.3541453428863868"
operators,Div,"count=54, percentage=5.527123848515865"
operators,Mul,"count=97, percentage=9.92835209825998"
operators,MatMul,"count=48, percentage=4.912998976458546"
operators,Erf,"count=18, percentage=1.842374616171955"
operators,Shape,"count=33, percentage=3.3776867963152504"
operators,Gather,"count=25, percentage=2.5588536335721597"
operators,Slice,"count=17, percentage=1.7400204708290685"
operators,Concat,"count=22, percentage=2.2517911975435005"
operators,Unsqueeze,"count=47, percentage=4.810644831115661"
operators,Reshape,"count=15, percentage=1.5353121801432956"
operators,ConstantOfShape,"count=1, percentage=0.1023541453428864"
operators,Cast,"count=3, percentage=0.3070624360286591"
operators,Not,"count=1, percentage=0.1023541453428864"
operators,CumSum,"count=2, percentage=0.2047082906857728"
operators,Sin,"count=2, percentage=0.2047082906857728"
operators,Cos,"count=2, percentage=0.2047082906857728"
operators,Split,"count=3, percentage=0.3070624360286591"
operators,Squeeze,"count=9, percentage=0.9211873080859775"
operators,Abs,"count=6, percentage=0.6141248720573182"
operators,ReduceSum,"count=6, percentage=0.6141248720573182"
operators,Clip,"count=6, percentage=0.6141248720573182"
operators,Expand,"count=6, percentage=0.6141248720573182"
operators,Softmax,"count=3, percentage=0.3070624360286591"
operators,GlobalAveragePool,"count=1, percentage=0.1023541453428864"
operators,Flatten,"count=1, percentage=0.1023541453428864"
operators,Gemm,"count=1, percentage=0.1023541453428864"
inputs,input,"dtype=FLOAT, shape=[0, 3, 256, 256]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
