section,key,value
summary,model,./efficientnet_b3a.onnx
summary,node_count,386
summary,input_count,1
summary,output_count,1
summary,num_params,12189584
summary,model_size,46.590495109558105
parameter_data_types,FLOAT,12189584
operators,Conv,"count=130, percentage=33.67875647668394"
operators,Sigmoid,"count=104, percentage=26.94300518134715"
operators,Mul,"count=104, percentage=26.94300518134715"
operators,ReduceMean,"count=26, percentage=6.7357512953367875"
operators,Add,"count=19, percentage=4.922279792746114"
operators,GlobalAveragePool,"count=1, percentage=0.2590673575129534"
operators,Flatten,"count=1, percentage=0.2590673575129534"
operators,Gemm,"count=1, percentage=0.2590673575129534"
inputs,input,"dtype=FLOAT, shape=[0, 3, 288, 288]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
