section,key,value
summary,model,./focalnet_xlarge_fl4.onnx
summary,node_count,3048
summary,input_count,1
summary,output_count,1
summary,num_params,409028042
summary,model_size,1561.0018939971924
parameter_data_types,FLOAT,409028042
operators,Conv,"count=220, percentage=7.217847769028872"
operators,Transpose,"count=106, percentage=3.477690288713911"
operators,ReduceMean,"count=130, percentage=4.2650918635170605"
operators,Sub,"count=53, percentage=1.7388451443569555"
operators,Constant,"count=1018, percentage=33.3989501312336"
operators,Pow,"count=53, percentage=1.7388451443569555"
operators,Add,"count=394, percentage=12.926509186351707"
operators,Sqrt,"count=53, percentage=1.7388451443569555"
operators,Div,"count=197, percentage=6.463254593175853"
operators,Mul,"count=533, percentage=17.48687664041995"
operators,Split,"count=24, percentage=0.7874015748031495"
operators,Erf,"count=144, percentage=4.724409448818897"
operators,Slice,"count=120, percentage=3.937007874015748"
operators,GlobalAveragePool,"count=1, percentage=0.03280839895013123"
operators,Flatten,"count=1, percentage=0.03280839895013123"
operators,Gemm,"count=1, percentage=0.03280839895013123"
inputs,input,"dtype=FLOAT, shape=[0, 3, 384, 384]"
outputs,output,"dtype=FLOAT, shape=[0, 21842]"
