section,key,value
summary,model,./gcvit_xtiny.onnx
summary,node_count,2966
summary,input_count,1
summary,output_count,1
summary,num_params,22017934
summary,model_size,84.50271415710449
parameter_data_types,FLOAT,22017934
operators,Conv,"count=49, percentage=1.6520566419420093"
operators,Transpose,"count=116, percentage=3.910991233985165"
operators,ReduceMean,"count=101, percentage=3.4052596089008764"
operators,Sub,"count=45, percentage=1.517194875252866"
operators,Constant,"count=728, percentage=24.54484153742414"
operators,Pow,"count=45, percentage=1.517194875252866"
operators,Add,"count=267, percentage=9.002022926500338"
operators,Sqrt,"count=45, percentage=1.517194875252866"
operators,Div,"count=129, percentage=4.349291975724881"
operators,Mul,"count=154, percentage=5.192178017532029"
operators,Erf,"count=40, percentage=1.3486176668914363"
operators,Sigmoid,"count=11, percentage=0.37086985839514497"
operators,MaxPool,"count=5, percentage=0.16857720836142953"
operators,Shape,"count=156, percentage=5.259608900876602"
operators,Gather,"count=148, percentage=4.989885367498315"
operators,Cast,"count=88, percentage=2.9669588671611598"
operators,Unsqueeze,"count=338, percentage=11.395819285232637"
operators,Concat,"count=150, percentage=5.057316250842886"
operators,Reshape,"count=134, percentage=4.517869184086312"
operators,MatMul,"count=108, percentage=3.6412677006068783"
operators,Split,"count=18, percentage=0.6068779501011463"
operators,Squeeze,"count=46, percentage=1.5509103169251517"
operators,Softmax,"count=18, percentage=0.6068779501011463"
operators,ConstantOfShape,"count=8, percentage=0.26972353337828725"
operators,Expand,"count=8, percentage=0.26972353337828725"
operators,Tile,"count=8, percentage=0.26972353337828725"
operators,GlobalAveragePool,"count=1, percentage=0.033715441672285906"
operators,Flatten,"count=1, percentage=0.033715441672285906"
operators,Gemm,"count=1, percentage=0.033715441672285906"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
