section,key,value
summary,model,./hardcorenas_c.onnx
summary,node_count,170
summary,input_count,1
summary,output_count,1
summary,num_params,5507512
summary,model_size,21.050113677978516
parameter_data_types,FLOAT,5507512
operators,Conv,"count=68, percentage=40.0"
operators,HardSigmoid,"count=31, percentage=18.235294117647058"
operators,Mul,"count=31, percentage=18.235294117647058"
operators,Relu,"count=19, percentage=11.176470588235295"
operators,ReduceMean,"count=6, percentage=3.5294117647058822"
operators,Add,"count=12, percentage=7.0588235294117645"
operators,GlobalAveragePool,"count=1, percentage=0.5882352941176471"
operators,Flatten,"count=1, percentage=0.5882352941176471"
operators,Gemm,"count=1, percentage=0.5882352941176471"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
