section,key,value
summary,model,./legacy_seresnet34.onnx
summary,node_count,201
summary,input_count,1
summary,output_count,1
summary,num_params,21950356
summary,model_size,83.7739486694336
parameter_data_types,FLOAT,21950356
operators,Conv,"count=68, percentage=33.83084577114428"
operators,Relu,"count=65, percentage=32.33830845771145"
operators,MaxPool,"count=1, percentage=0.4975124378109453"
operators,ReduceMean,"count=16, percentage=7.960199004975125"
operators,Sigmoid,"count=16, percentage=7.960199004975125"
operators,Mul,"count=16, percentage=7.960199004975125"
operators,Add,"count=16, percentage=7.960199004975125"
operators,GlobalAveragePool,"count=1, percentage=0.4975124378109453"
operators,Flatten,"count=1, percentage=0.4975124378109453"
operators,Gemm,"count=1, percentage=0.4975124378109453"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
