section,key,value
summary,model,./mnasnet_100.onnx
summary,node_count,100
summary,input_count,1
summary,output_count,1
summary,num_params,4364352
summary,model_size,16.67258644104004
parameter_data_types,FLOAT,4364352
operators,Conv,"count=52, percentage=52.0"
operators,Relu,"count=35, percentage=35.0"
operators,Add,"count=10, percentage=10.0"
operators,GlobalAveragePool,"count=1, percentage=1.0"
operators,Flatten,"count=1, percentage=1.0"
operators,Gemm,"count=1, percentage=1.0"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
