section,key,value
summary,model,./mobilenetv3_small_050.onnx
summary,node_count,142
summary,input_count,1
summary,output_count,1
summary,num_params,1589976
summary,model_size,6.099270820617676
parameter_data_types,FLOAT,1589976
operators,Conv,"count=53, percentage=37.32394366197183"
operators,HardSigmoid,"count=28, percentage=19.718309859154928"
operators,Mul,"count=28, percentage=19.718309859154928"
operators,Relu,"count=14, percentage=9.859154929577464"
operators,ReduceMean,"count=9, percentage=6.338028169014084"
operators,Add,"count=7, percentage=4.929577464788732"
operators,GlobalAveragePool,"count=1, percentage=0.7042253521126761"
operators,Flatten,"count=1, percentage=0.7042253521126761"
operators,Gemm,"count=1, percentage=0.7042253521126761"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
