section,key,value
summary,model,./mobileone_s4.onnx
summary,node_count,333
summary,input_count,1
summary,output_count,1
summary,num_params,14955728
summary,model_size,57.13325309753418
parameter_data_types,FLOAT,14955728
operators,Conv,"count=89, percentage=26.726726726726728"
operators,Add,"count=86, percentage=25.825825825825827"
operators,Constant,"count=30, percentage=9.00900900900901"
operators,Relu,"count=55, percentage=16.516516516516518"
operators,BatchNormalization,"count=34, percentage=10.21021021021021"
operators,ReduceMean,"count=12, percentage=3.6036036036036037"
operators,Sigmoid,"count=12, percentage=3.6036036036036037"
operators,Mul,"count=12, percentage=3.6036036036036037"
operators,GlobalAveragePool,"count=1, percentage=0.3003003003003003"
operators,Flatten,"count=1, percentage=0.3003003003003003"
operators,Gemm,"count=1, percentage=0.3003003003003003"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
