section,key,value
summary,model,./pnasnet5large.onnx
summary,node_count,2888
summary,input_count,1
summary,output_count,1
summary,num_params,85974034
summary,model_size,328.6248531341553
parameter_data_types,FLOAT,85974034
operators,Conv,"count=373, percentage=12.91551246537396"
operators,Relu,"count=140, percentage=4.847645429362881"
operators,Shape,"count=64, percentage=2.21606648199446"
operators,Constant,"count=708, percentage=24.51523545706371"
operators,Gather,"count=64, percentage=2.21606648199446"
operators,Cast,"count=292, percentage=10.110803324099724"
operators,Div,"count=96, percentage=3.32409972299169"
operators,Ceil,"count=32, percentage=1.10803324099723"
operators,Sub,"count=192, percentage=6.64819944598338"
operators,Mul,"count=32, percentage=1.10803324099723"
operators,Add,"count=198, percentage=6.85595567867036"
operators,Clip,"count=64, percentage=2.21606648199446"
operators,Unsqueeze,"count=256, percentage=8.86426592797784"
operators,Concat,"count=118, percentage=4.085872576177286"
operators,ConstantOfShape,"count=36, percentage=1.2465373961218837"
operators,Reshape,"count=72, percentage=2.4930747922437675"
operators,Slice,"count=36, percentage=1.2465373961218837"
operators,Transpose,"count=36, percentage=1.2465373961218837"
operators,Pad,"count=36, percentage=1.2465373961218837"
operators,MaxPool,"count=28, percentage=0.9695290858725761"
operators,AveragePool,"count=8, percentage=0.2770083102493075"
operators,BatchNormalization,"count=4, percentage=0.13850415512465375"
operators,GlobalAveragePool,"count=1, percentage=0.03462603878116344"
operators,Flatten,"count=1, percentage=0.03462603878116344"
operators,Gemm,"count=1, percentage=0.03462603878116344"
inputs,input,"dtype=FLOAT, shape=[0, 3, 331, 331]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
