section,key,value
summary,model,./regnetz_c16.onnx
summary,node_count,313
summary,input_count,1
summary,output_count,1
summary,num_params,13428392
summary,model_size,51.30212116241455
parameter_data_types,FLOAT,13428392
operators,Conv,"count=112, percentage=35.78274760383386"
operators,Sigmoid,"count=68, percentage=21.72523961661342"
operators,Mul,"count=68, percentage=21.72523961661342"
operators,ReduceMean,"count=22, percentage=7.0287539936102235"
operators,Relu,"count=22, percentage=7.0287539936102235"
operators,Add,"count=18, percentage=5.7507987220447285"
operators,GlobalAveragePool,"count=1, percentage=0.3194888178913738"
operators,Flatten,"count=1, percentage=0.3194888178913738"
operators,Gemm,"count=1, percentage=0.3194888178913738"
inputs,input,"dtype=FLOAT, shape=[0, 3, 256, 256]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
