section,key,value
summary,model,./regnetv_040.onnx
summary,node_count,427
summary,input_count,1
summary,output_count,1
summary,num_params,20667616
summary,model_size,78.9153995513916
parameter_data_types,FLOAT,20667616
operators,Conv,"count=115, percentage=26.93208430913349"
operators,Sigmoid,"count=111, percentage=25.995316159250585"
operators,Mul,"count=111, percentage=25.995316159250585"
operators,ReduceMean,"count=22, percentage=5.152224824355972"
operators,BatchNormalization,"count=43, percentage=10.070257611241217"
operators,Add,"count=22, percentage=5.152224824355972"
operators,GlobalAveragePool,"count=1, percentage=0.234192037470726"
operators,Flatten,"count=1, percentage=0.234192037470726"
operators,Gemm,"count=1, percentage=0.234192037470726"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
