section,key,value
summary,model,./resnet26t.onnx
summary,node_count,73
summary,input_count,1
summary,output_count,1
summary,num_params,15996392
summary,model_size,61.03561878204346
parameter_data_types,FLOAT,15996392
operators,Conv,"count=31, percentage=42.465753424657535"
operators,Relu,"count=27, percentage=36.986301369863014"
operators,MaxPool,"count=1, percentage=1.36986301369863"
operators,Add,"count=8, percentage=10.95890410958904"
operators,AveragePool,"count=3, percentage=4.10958904109589"
operators,GlobalAveragePool,"count=1, percentage=1.36986301369863"
operators,Flatten,"count=1, percentage=1.36986301369863"
operators,Gemm,"count=1, percentage=1.36986301369863"
inputs,input,"dtype=FLOAT, shape=[0, 3, 256, 256]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
