section,key,value
summary,model,./resnext26ts.onnx
summary,node_count,97
summary,input_count,1
summary,output_count,1
summary,num_params,10282472
summary,model_size,39.24675369262695
parameter_data_types,FLOAT,10282472
operators,Conv,"count=31, percentage=31.958762886597935"
operators,Sigmoid,"count=27, percentage=27.835051546391753"
operators,Mul,"count=27, percentage=27.835051546391753"
operators,MaxPool,"count=1, percentage=1.0309278350515463"
operators,Add,"count=8, percentage=8.24742268041237"
operators,GlobalAveragePool,"count=1, percentage=1.0309278350515463"
operators,Flatten,"count=1, percentage=1.0309278350515463"
operators,Gemm,"count=1, percentage=1.0309278350515463"
inputs,input,"dtype=FLOAT, shape=[0, 3, 256, 256]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
