section,key,value
summary,model,./selecsls42b.onnx
summary,node_count,91
summary,input_count,1
summary,output_count,1
summary,num_params,32448424
summary,model_size,123.80155181884766
parameter_data_types,FLOAT,32448424
operators,Conv,"count=41, percentage=45.05494505494506"
operators,Relu,"count=41, percentage=45.05494505494506"
operators,Concat,"count=6, percentage=6.593406593406594"
operators,GlobalAveragePool,"count=1, percentage=1.098901098901099"
operators,Flatten,"count=1, percentage=1.098901098901099"
operators,Gemm,"count=1, percentage=1.098901098901099"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
