section,key,value
summary,model,./swin_s3_tiny_224.onnx
summary,node_count,3071
summary,input_count,1
summary,output_count,1
summary,num_params,31189450
summary,model_size,120.26917266845703
parameter_data_types,FLOAT,31189450
operators,Conv,"count=1, percentage=0.0325626831650928"
operators,Transpose,"count=76, percentage=2.474763920547053"
operators,ReduceMean,"count=59, percentage=1.9211983067404754"
operators,Sub,"count=65, percentage=2.1165744057310323"
operators,Constant,"count=982, percentage=31.97655486812113"
operators,Pow,"count=29, percentage=0.9443178117876914"
operators,Add,"count=180, percentage=5.861282969716704"
operators,Sqrt,"count=29, percentage=0.9443178117876914"
operators,Div,"count=95, percentage=3.0934549006838163"
operators,Mul,"count=65, percentage=2.1165744057310323"
operators,Shape,"count=195, percentage=6.349723217193097"
operators,Gather,"count=192, percentage=6.2520351676978185"
operators,Mod,"count=48, percentage=1.5630087919244546"
operators,Unsqueeze,"count=368, percentage=11.98306740475415"
operators,Concat,"count=174, percentage=5.665906870726148"
operators,Cast,"count=132, percentage=4.29827417779225"
operators,ConstantOfShape,"count=12, percentage=0.39075219798111366"
operators,Reshape,"count=154, percentage=5.014653207424292"
operators,Slice,"count=55, percentage=1.7909475740801044"
operators,Pad,"count=12, percentage=0.39075219798111366"
operators,MatMul,"count=75, percentage=2.44220123738196"
operators,Split,"count=12, percentage=0.39075219798111366"
operators,Squeeze,"count=36, percentage=1.172256593943341"
operators,Softmax,"count=12, percentage=0.39075219798111366"
operators,Erf,"count=12, percentage=0.39075219798111366"
operators,Gemm,"count=1, percentage=0.0325626831650928"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
