section,key,value
summary,model,./swinv2_cr_small_224.onnx
summary,node_count,5541
summary,input_count,1
summary,output_count,1
summary,num_params,49695100
summary,model_size,191.99741172790527
parameter_data_types,FLOAT,49695100
operators,Conv,"count=1, percentage=0.01804728388377549"
operators,Transpose,"count=149, percentage=2.689045298682548"
operators,ReduceMean,"count=106, percentage=1.913012091680202"
operators,Sub,"count=53, percentage=0.956506045840101"
operators,Constant,"count=1659, percentage=29.94044396318354"
operators,Pow,"count=149, percentage=2.689045298682548"
operators,Add,"count=309, percentage=5.576610720086627"
operators,Sqrt,"count=53, percentage=0.956506045840101"
operators,Div,"count=214, percentage=3.8621187511279556"
operators,Mul,"count=125, percentage=2.2559104854719365"
operators,Shape,"count=362, percentage=6.533116765926728"
operators,Gather,"count=311, percentage=5.612705287854178"
operators,Cast,"count=178, percentage=3.212416531312037"
operators,Unsqueeze,"count=571, percentage=10.304999097635806"
operators,Concat,"count=312, percentage=5.630752571737953"
operators,Reshape,"count=292, percentage=5.269806894062444"
operators,MatMul,"count=147, percentage=2.6529507309149976"
operators,Split,"count=24, percentage=0.4331348132106118"
operators,Squeeze,"count=72, percentage=1.2994044396318354"
operators,Abs,"count=48, percentage=0.8662696264212236"
operators,ReduceSum,"count=48, percentage=0.8662696264212236"
operators,Clip,"count=72, percentage=1.2994044396318354"
operators,Expand,"count=48, percentage=0.8662696264212236"
operators,Exp,"count=24, percentage=0.4331348132106118"
operators,Gemm,"count=49, percentage=0.8843169103049991"
operators,Relu,"count=24, percentage=0.4331348132106118"
operators,Softmax,"count=24, percentage=0.4331348132106118"
operators,Erf,"count=24, percentage=0.4331348132106118"
operators,Slice,"count=91, percentage=1.6423028334235696"
operators,GlobalAveragePool,"count=1, percentage=0.01804728388377549"
operators,Flatten,"count=1, percentage=0.01804728388377549"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
