section,key,value
summary,model,./swinv2_large_window12_192.onnx
summary,node_count,4791
summary,input_count,1
summary,output_count,1
summary,num_params,228790597
summary,model_size,875.3225154876709
parameter_data_types,FLOAT,228790597
operators,Conv,"count=1, percentage=0.02087246921310791"
operators,Transpose,"count=148, percentage=3.089125443539971"
operators,ReduceMean,"count=107, percentage=2.2333542058025464"
operators,Sub,"count=53, percentage=1.1062408682947193"
operators,Constant,"count=1294, percentage=27.00897516176164"
operators,Pow,"count=149, percentage=3.109997912753079"
operators,Add,"count=324, percentage=6.762680025046963"
operators,Sqrt,"count=53, percentage=1.1062408682947193"
operators,Div,"count=179, percentage=3.736171989146316"
operators,Mul,"count=149, percentage=3.109997912753079"
operators,Shape,"count=263, percentage=5.4894594030473804"
operators,Gather,"count=236, percentage=4.925902734293467"
operators,Cast,"count=108, percentage=2.254226675015654"
operators,Unsqueeze,"count=524, percentage=10.937173867668545"
operators,Concat,"count=258, percentage=5.3850970569818415"
operators,Reshape,"count=298, percentage=6.219995825506158"
operators,MatMul,"count=195, percentage=4.0701314965560424"
operators,Split,"count=24, percentage=0.5009392611145899"
operators,Squeeze,"count=72, percentage=1.5028177833437695"
operators,Abs,"count=48, percentage=1.0018785222291797"
operators,ReduceSum,"count=48, percentage=1.0018785222291797"
operators,Clip,"count=72, percentage=1.5028177833437695"
operators,Expand,"count=48, percentage=1.0018785222291797"
operators,Exp,"count=24, percentage=0.5009392611145899"
operators,Relu,"count=24, percentage=0.5009392611145899"
operators,Sigmoid,"count=24, percentage=0.5009392611145899"
operators,Softmax,"count=24, percentage=0.5009392611145899"
operators,Erf,"count=24, percentage=0.5009392611145899"
operators,Slice,"count=19, percentage=0.3965769150490503"
operators,Gemm,"count=1, percentage=0.02087246921310791"
inputs,input,"dtype=FLOAT, shape=[0, 3, 192, 192]"
outputs,output,"dtype=FLOAT, shape=[0, 21841]"
