section,key,value
summary,model,./tf_efficientnet_b0.onnx
summary,node_count,634
summary,input_count,1
summary,output_count,1
summary,num_params,5267540
summary,model_size,20.214527130126953
parameter_data_types,FLOAT,5267540
operators,Shape,"count=15, percentage=2.365930599369085"
operators,Constant,"count=125, percentage=19.71608832807571"
operators,Gather,"count=15, percentage=2.365930599369085"
operators,Cast,"count=50, percentage=7.886435331230284"
operators,Div,"count=20, percentage=3.1545741324921135"
operators,Ceil,"count=10, percentage=1.5772870662460567"
operators,Sub,"count=35, percentage=5.520504731861198"
operators,Mul,"count=75, percentage=11.829652996845425"
operators,Add,"count=29, percentage=4.574132492113565"
operators,Clip,"count=10, percentage=1.5772870662460567"
operators,Unsqueeze,"count=40, percentage=6.309148264984227"
operators,Concat,"count=15, percentage=2.365930599369085"
operators,ConstantOfShape,"count=5, percentage=0.7886435331230284"
operators,Reshape,"count=10, percentage=1.5772870662460567"
operators,Slice,"count=5, percentage=0.7886435331230284"
operators,Transpose,"count=5, percentage=0.7886435331230284"
operators,Pad,"count=5, percentage=0.7886435331230284"
operators,Conv,"count=81, percentage=12.77602523659306"
operators,Sigmoid,"count=65, percentage=10.25236593059937"
operators,ReduceMean,"count=16, percentage=2.5236593059936907"
operators,GlobalAveragePool,"count=1, percentage=0.15772870662460567"
operators,Flatten,"count=1, percentage=0.15772870662460567"
operators,Gemm,"count=1, percentage=0.15772870662460567"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
