section,key,value
summary,model,./tf_efficientnetv2_b0.onnx
summary,node_count,662
summary,input_count,1
summary,output_count,1
summary,num_params,7109400
summary,model_size,27.247535705566406
parameter_data_types,FLOAT,7109400
operators,Shape,"count=15, percentage=2.2658610271903323"
operators,Constant,"count=125, percentage=18.882175226586103"
operators,Gather,"count=15, percentage=2.2658610271903323"
operators,Cast,"count=50, percentage=7.552870090634441"
operators,Div,"count=20, percentage=3.0211480362537766"
operators,Ceil,"count=10, percentage=1.5105740181268883"
operators,Sub,"count=35, percentage=5.287009063444108"
operators,Mul,"count=81, percentage=12.235649546827794"
operators,Add,"count=35, percentage=5.287009063444108"
operators,Clip,"count=10, percentage=1.5105740181268883"
operators,Unsqueeze,"count=40, percentage=6.042296072507553"
operators,Concat,"count=15, percentage=2.2658610271903323"
operators,ConstantOfShape,"count=5, percentage=0.7552870090634441"
operators,Reshape,"count=10, percentage=1.5105740181268883"
operators,Slice,"count=5, percentage=0.7552870090634441"
operators,Transpose,"count=5, percentage=0.7552870090634441"
operators,Pad,"count=5, percentage=0.7552870090634441"
operators,Conv,"count=91, percentage=13.746223564954683"
operators,Sigmoid,"count=71, percentage=10.725075528700906"
operators,ReduceMean,"count=16, percentage=2.416918429003021"
operators,GlobalAveragePool,"count=1, percentage=0.1510574018126888"
operators,Flatten,"count=1, percentage=0.1510574018126888"
operators,Gemm,"count=1, percentage=0.1510574018126888"
inputs,input,"dtype=FLOAT, shape=[0, 3, 192, 192]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
