section,key,value
summary,model,./tinynet_e.onnx
summary,node_count,149
summary,input_count,1
summary,output_count,1
summary,num_params,2035852
summary,model_size,7.800970077514648
parameter_data_types,FLOAT,2035852
operators,Conv,"count=51, percentage=34.22818791946309"
operators,Sigmoid,"count=41, percentage=27.516778523489933"
operators,Mul,"count=41, percentage=27.516778523489933"
operators,ReduceMean,"count=10, percentage=6.7114093959731544"
operators,Add,"count=3, percentage=2.013422818791946"
operators,GlobalAveragePool,"count=1, percentage=0.6711409395973155"
operators,Flatten,"count=1, percentage=0.6711409395973155"
operators,Gemm,"count=1, percentage=0.6711409395973155"
inputs,input,"dtype=FLOAT, shape=[0, 3, 106, 106]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
