section,key,value
summary,model,./vgg13.onnx
summary,node_count,32
summary,input_count,1
summary,output_count,1
summary,num_params,133047848
summary,model_size,507.54355907440186
parameter_data_types,FLOAT,133047848
operators,Conv,"count=12, percentage=37.5"
operators,Relu,"count=12, percentage=37.5"
operators,MaxPool,"count=5, percentage=15.625"
operators,GlobalAveragePool,"count=1, percentage=3.125"
operators,Flatten,"count=1, percentage=3.125"
operators,Gemm,"count=1, percentage=3.125"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
