section,key,value
summary,model,torchvision/densenet201.onnx
summary,node_count,1007
summary,input_count,1
summary,output_count,1
summary,num_params,19901928
summary,model_size,76.22521018981934
parameter_data_types,FLOAT,19901928
operators,Identity,"count=389, percentage=38.629592850049654"
operators,Conv,"count=200, percentage=19.860973187686195"
operators,Relu,"count=201, percentage=19.960278053624627"
operators,MaxPool,"count=1, percentage=0.09930486593843098"
operators,Concat,"count=102, percentage=10.12909632571996"
operators,BatchNormalization,"count=102, percentage=10.12909632571996"
operators,Constant,"count=3, percentage=0.29791459781529295"
operators,Pad,"count=3, percentage=0.29791459781529295"
operators,AveragePool,"count=3, percentage=0.29791459781529295"
operators,GlobalAveragePool,"count=1, percentage=0.09930486593843098"
operators,Flatten,"count=1, percentage=0.09930486593843098"
operators,Gemm,"count=1, percentage=0.09930486593843098"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
