section,key,value
summary,model,torchvision/efficientnet_b3.onnx
summary,node_count,494
summary,input_count,1
summary,output_count,1
summary,num_params,12134224
summary,model_size,46.407320976257324
parameter_data_types,FLOAT,12134224
operators,Identity,"count=108, percentage=21.86234817813765"
operators,Conv,"count=130, percentage=26.31578947368421"
operators,Sigmoid,"count=104, percentage=21.052631578947366"
operators,Mul,"count=104, percentage=21.052631578947366"
operators,GlobalAveragePool,"count=27, percentage=5.465587044534413"
operators,Add,"count=19, percentage=3.8461538461538463"
operators,Flatten,"count=1, percentage=0.20242914979757085"
operators,Gemm,"count=1, percentage=0.20242914979757085"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
