section,key,value
summary,model,torchvision/mnasnet1_3.onnx
summary,node_count,135
summary,input_count,1
summary,output_count,1
summary,num_params,6239320
summary,model_size,23.828007698059082
parameter_data_types,FLOAT,6239320
operators,Identity,"count=36, percentage=26.666666666666668"
operators,Conv,"count=52, percentage=38.51851851851852"
operators,Relu,"count=35, percentage=25.925925925925924"
operators,Add,"count=10, percentage=7.4074074074074066"
operators,ReduceMean,"count=1, percentage=0.7407407407407408"
operators,Gemm,"count=1, percentage=0.7407407407407408"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
