section,key,value
summary,model,torchvision/resnext50_32x4d.onnx
summary,node_count,169
summary,input_count,1
summary,output_count,1
summary,num_params,24964712
summary,model_size,95.25750827789307
parameter_data_types,FLOAT,24964712
operators,Identity,"count=47, percentage=27.810650887573964"
operators,Conv,"count=53, percentage=31.360946745562128"
operators,Relu,"count=49, percentage=28.994082840236686"
operators,MaxPool,"count=1, percentage=0.591715976331361"
operators,Add,"count=16, percentage=9.467455621301776"
operators,GlobalAveragePool,"count=1, percentage=0.591715976331361"
operators,Flatten,"count=1, percentage=0.591715976331361"
operators,Gemm,"count=1, percentage=0.591715976331361"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
