section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/detectron2/COCO-Detection/faster_rcnn_R_101_FPN_3x.onnx
summary,node_count,1895
summary,input_count,1
summary,output_count,4
summary,num_params,60692512
summary,model_size,231.5235595703125
parameter_data_types,FLOAT,60692512
operators,Constant,"count=523, percentage=27.598944591029024"
operators,Sub,"count=34, percentage=1.7941952506596308"
operators,Div,"count=29, percentage=1.5303430079155673"
operators,ReduceMax,"count=2, percentage=0.10554089709762532"
operators,Add,"count=89, percentage=4.696569920844327"
operators,Less,"count=1, percentage=0.05277044854881266"
operators,Xor,"count=1, percentage=0.05277044854881266"
operators,Mod,"count=1, percentage=0.05277044854881266"
operators,Equal,"count=18, percentage=0.9498680738786279"
operators,Not,"count=1, percentage=0.05277044854881266"
operators,And,"count=2, percentage=0.10554089709762532"
operators,Where,"count=8, percentage=0.4221635883905013"
operators,Mul,"count=73, percentage=3.8522427440633242"
operators,Gather,"count=136, percentage=7.176781002638523"
operators,Unsqueeze,"count=158, percentage=8.3377308707124"
operators,Concat,"count=96, percentage=5.065963060686015"
operators,Shape,"count=98, percentage=5.171503957783641"
operators,Cast,"count=67, percentage=3.5356200527704487"
operators,ConstantOfShape,"count=14, percentage=0.7387862796833773"
operators,Reshape,"count=100, percentage=5.277044854881266"
operators,Slice,"count=44, percentage=2.321899736147757"
operators,Transpose,"count=21, percentage=1.108179419525066"
operators,Pad,"count=1, percentage=0.05277044854881266"
operators,Conv,"count=127, percentage=6.701846965699208"
operators,Relu,"count=107, percentage=5.646437994722955"
operators,MaxPool,"count=2, percentage=0.10554089709762532"
operators,Resize,"count=3, percentage=0.15831134564643798"
operators,Range,"count=10, percentage=0.5277044854881267"
operators,Expand,"count=17, percentage=0.8970976253298154"
operators,Flatten,"count=11, percentage=0.5804749340369393"
operators,Clip,"count=26, percentage=1.3720316622691293"
operators,Exp,"count=12, percentage=0.6332453825857519"
operators,TopK,"count=5, percentage=0.2638522427440633"
operators,Split,"count=8, percentage=0.4221635883905013"
operators,Squeeze,"count=8, percentage=0.4221635883905013"
operators,Greater,"count=3, percentage=0.15831134564643798"
operators,NonZero,"count=10, percentage=0.5277044854881267"
operators,GatherND,"count=5, percentage=0.2638522427440633"
operators,ReduceProd,"count=1, percentage=0.05277044854881266"
operators,If,"count=6, percentage=0.31662269129287596"
operators,Sqrt,"count=1, percentage=0.05277044854881266"
operators,Log,"count=1, percentage=0.05277044854881266"
operators,Floor,"count=1, percentage=0.05277044854881266"
operators,RoiAlign,"count=4, percentage=0.21108179419525064"
operators,ScatterND,"count=4, percentage=0.21108179419525064"
operators,Gemm,"count=4, percentage=0.21108179419525064"
operators,Softmax,"count=1, percentage=0.05277044854881266"
operators,NonMaxSuppression,"count=1, percentage=0.05277044854881266"
inputs,x.1,"dtype=FLOAT, shape=[3, 800, 1067]"
outputs,boxes.35,"dtype=FLOAT, shape=[0, 0]"
outputs,value.3,"dtype=INT64, shape=[0]"
outputs,value,"dtype=FLOAT, shape=[0]"
outputs,onnx::Split_558,"dtype=INT64, shape=[2]"
