section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/detectron2/COCO-Detection/faster_rcnn_R_50_C4_1x.onnx
summary,node_count,693
summary,input_count,1
summary,output_count,4
summary,num_params,33818204
summary,model_size,129.00621032714844
parameter_data_types,FLOAT,33818204
operators,Constant,"count=182, percentage=26.262626262626267"
operators,Sub,"count=14, percentage=2.0202020202020203"
operators,Div,"count=10, percentage=1.443001443001443"
operators,ReduceMax,"count=2, percentage=0.2886002886002886"
operators,Gather,"count=54, percentage=7.792207792207792"
operators,Unsqueeze,"count=57, percentage=8.225108225108226"
operators,Concat,"count=28, percentage=4.040404040404041"
operators,Shape,"count=26, percentage=3.751803751803752"
operators,Cast,"count=32, percentage=4.617604617604617"
operators,ConstantOfShape,"count=5, percentage=0.7215007215007215"
operators,Reshape,"count=24, percentage=3.463203463203463"
operators,Slice,"count=16, percentage=2.3088023088023086"
operators,Transpose,"count=9, percentage=1.2987012987012987"
operators,Pad,"count=1, percentage=0.1443001443001443"
operators,Conv,"count=56, percentage=8.080808080808081"
operators,Relu,"count=50, percentage=7.215007215007215"
operators,MaxPool,"count=1, percentage=0.1443001443001443"
operators,Add,"count=34, percentage=4.9062049062049065"
operators,Mul,"count=23, percentage=3.318903318903319"
operators,Range,"count=2, percentage=0.2886002886002886"
operators,Expand,"count=5, percentage=0.7215007215007215"
operators,Flatten,"count=2, percentage=0.2886002886002886"
operators,Equal,"count=6, percentage=0.8658008658008658"
operators,Where,"count=3, percentage=0.4329004329004329"
operators,Clip,"count=13, percentage=1.875901875901876"
operators,Exp,"count=4, percentage=0.5772005772005772"
operators,TopK,"count=1, percentage=0.1443001443001443"
operators,Split,"count=4, percentage=0.5772005772005772"
operators,Squeeze,"count=4, percentage=0.5772005772005772"
operators,Greater,"count=3, percentage=0.4329004329004329"
operators,And,"count=1, percentage=0.1443001443001443"
operators,NonZero,"count=6, percentage=0.8658008658008658"
operators,GatherND,"count=5, percentage=0.7215007215007215"
operators,ReduceProd,"count=1, percentage=0.1443001443001443"
operators,If,"count=3, percentage=0.4329004329004329"
operators,RoiAlign,"count=1, percentage=0.1443001443001443"
operators,ReduceMean,"count=1, percentage=0.1443001443001443"
operators,Gemm,"count=2, percentage=0.2886002886002886"
operators,Softmax,"count=1, percentage=0.1443001443001443"
operators,NonMaxSuppression,"count=1, percentage=0.1443001443001443"
inputs,x.1,"dtype=FLOAT, shape=[3, 800, 1067]"
outputs,boxes.23,"dtype=FLOAT, shape=[0, 0]"
outputs,value.3,"dtype=INT64, shape=[0]"
outputs,value,"dtype=FLOAT, shape=[0]"
outputs,onnx::Split_283,"dtype=INT64, shape=[2]"
