section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/detectron2/COCO-InstanceSegmentation/mask_rcnn_X_101_32x8d_FPN_3x/mask_rcnn_X_101_32x8d_FPN_3x.onnx
summary,node_count,2125
summary,input_count,1
summary,output_count,5
summary,num_params,107529200
summary,model_size,410.19134521484375
parameter_data_types,FLOAT,107529200
operators,Constant,"count=586, percentage=27.576470588235296"
operators,Sub,"count=37, percentage=1.7411764705882353"
operators,Div,"count=31, percentage=1.4588235294117646"
operators,ReduceMax,"count=2, percentage=0.09411764705882353"
operators,Add,"count=93, percentage=4.376470588235295"
operators,Less,"count=1, percentage=0.047058823529411764"
operators,Xor,"count=1, percentage=0.047058823529411764"
operators,Mod,"count=1, percentage=0.047058823529411764"
operators,Equal,"count=28, percentage=1.3176470588235294"
operators,Not,"count=1, percentage=0.047058823529411764"
operators,And,"count=2, percentage=0.09411764705882353"
operators,Where,"count=10, percentage=0.4705882352941176"
operators,Mul,"count=77, percentage=3.623529411764706"
operators,Gather,"count=163, percentage=7.670588235294118"
operators,Unsqueeze,"count=168, percentage=7.905882352941177"
operators,Concat,"count=108, percentage=5.08235294117647"
operators,Shape,"count=116, percentage=5.458823529411765"
operators,Cast,"count=77, percentage=3.623529411764706"
operators,ConstantOfShape,"count=17, percentage=0.8"
operators,Reshape,"count=107, percentage=5.035294117647059"
operators,Slice,"count=49, percentage=2.3058823529411763"
operators,Transpose,"count=25, percentage=1.1764705882352942"
operators,Pad,"count=1, percentage=0.047058823529411764"
operators,Conv,"count=132, percentage=6.211764705882353"
operators,Relu,"count=112, percentage=5.270588235294118"
operators,MaxPool,"count=2, percentage=0.09411764705882353"
operators,Resize,"count=3, percentage=0.1411764705882353"
operators,Range,"count=11, percentage=0.5176470588235295"
operators,Expand,"count=19, percentage=0.8941176470588236"
operators,Flatten,"count=12, percentage=0.5647058823529412"
operators,Clip,"count=27, percentage=1.2705882352941176"
operators,Exp,"count=12, percentage=0.5647058823529412"
operators,TopK,"count=5, percentage=0.2352941176470588"
operators,Split,"count=14, percentage=0.6588235294117647"
operators,Squeeze,"count=12, percentage=0.5647058823529412"
operators,Greater,"count=3, percentage=0.1411764705882353"
operators,NonZero,"count=14, percentage=0.6588235294117647"
operators,GatherND,"count=5, percentage=0.2352941176470588"
operators,ReduceProd,"count=1, percentage=0.047058823529411764"
operators,If,"count=10, percentage=0.4705882352941176"
operators,Sqrt,"count=2, percentage=0.09411764705882353"
operators,Log,"count=2, percentage=0.09411764705882353"
operators,Floor,"count=2, percentage=0.09411764705882353"
operators,RoiAlign,"count=8, percentage=0.3764705882352941"
operators,ScatterND,"count=8, percentage=0.3764705882352941"
operators,Gemm,"count=4, percentage=0.18823529411764706"
operators,Softmax,"count=1, percentage=0.047058823529411764"
operators,NonMaxSuppression,"count=1, percentage=0.047058823529411764"
operators,ConvTranspose,"count=1, percentage=0.047058823529411764"
operators,Sigmoid,"count=1, percentage=0.047058823529411764"
inputs,x.1,"dtype=FLOAT, shape=[3, 800, 1067]"
outputs,boxes.35,"dtype=FLOAT, shape=[0, 0]"
outputs,value.3,"dtype=INT64, shape=[0]"
outputs,value.7,"dtype=FLOAT, shape=[0, 0, 0, 0]"
outputs,value,"dtype=FLOAT, shape=[0]"
outputs,onnx::Split_570,"dtype=INT64, shape=[2]"
