section,key,value
summary,model,/Users/gatilin/PycharmProjects/onnx-easy-tools/onnx_ckpts/detectron2/COCO-Keypoints/keypoint_rcnn_R_50_FPN_1x.onnx
summary,node_count,2022
summary,input_count,1
summary,output_count,6
summary,num_params,59159718
summary,model_size,225.6764144897461
parameter_data_types,FLOAT,59159718
operators,Constant,"count=593, percentage=29.327398615232443"
operators,Sub,"count=39, percentage=1.9287833827893175"
operators,Div,"count=33, percentage=1.6320474777448073"
operators,ReduceMax,"count=1, percentage=0.04945598417408506"
operators,Add,"count=74, percentage=3.6597428288822944"
operators,Less,"count=1, percentage=0.04945598417408506"
operators,Xor,"count=1, percentage=0.04945598417408506"
operators,Mod,"count=1, percentage=0.04945598417408506"
operators,Equal,"count=28, percentage=1.3847675568743818"
operators,Not,"count=1, percentage=0.04945598417408506"
operators,And,"count=2, percentage=0.09891196834817012"
operators,Where,"count=10, percentage=0.4945598417408506"
operators,Mul,"count=75, percentage=3.7091988130563793"
operators,Gather,"count=169, percentage=8.358061325420376"
operators,Unsqueeze,"count=166, percentage=8.209693372898121"
operators,Concat,"count=107, percentage=5.291790306627102"
operators,Shape,"count=115, percentage=5.687438180019782"
operators,Cast,"count=77, percentage=3.80811078140455"
operators,ConstantOfShape,"count=18, percentage=0.8902077151335311"
operators,Reshape,"count=105, percentage=5.192878338278932"
operators,Slice,"count=51, percentage=2.522255192878338"
operators,Transpose,"count=24, percentage=1.1869436201780417"
operators,Pad,"count=1, percentage=0.04945598417408506"
operators,Conv,"count=84, percentage=4.154302670623145"
operators,Relu,"count=64, percentage=3.165182987141444"
operators,MaxPool,"count=2, percentage=0.09891196834817012"
operators,Resize,"count=4, percentage=0.19782393669634024"
operators,Range,"count=11, percentage=0.5440158259149357"
operators,Expand,"count=19, percentage=0.9396636993076163"
operators,Flatten,"count=11, percentage=0.5440158259149357"
operators,Clip,"count=29, percentage=1.434223541048467"
operators,Exp,"count=12, percentage=0.5934718100890208"
operators,TopK,"count=5, percentage=0.2472799208704253"
operators,Split,"count=14, percentage=0.6923837784371909"
operators,Squeeze,"count=12, percentage=0.5934718100890208"
operators,Greater,"count=3, percentage=0.1483679525222552"
operators,NonZero,"count=13, percentage=0.6429277942631058"
operators,GatherND,"count=4, percentage=0.19782393669634024"
operators,ReduceProd,"count=2, percentage=0.09891196834817012"
operators,If,"count=10, percentage=0.4945598417408506"
operators,Sqrt,"count=2, percentage=0.09891196834817012"
operators,Log,"count=2, percentage=0.09891196834817012"
operators,Floor,"count=2, percentage=0.09891196834817012"
operators,RoiAlign,"count=8, percentage=0.3956478733926805"
operators,ScatterND,"count=8, percentage=0.3956478733926805"
operators,Gemm,"count=4, percentage=0.19782393669634024"
operators,Softmax,"count=1, percentage=0.04945598417408506"
operators,ConvTranspose,"count=1, percentage=0.04945598417408506"
operators,Ceil,"count=2, percentage=0.09891196834817012"
operators,Loop,"count=1, percentage=0.04945598417408506"
inputs,x.839,"dtype=FLOAT, shape=[3, 800, 1067]"
outputs,boxes.35,"dtype=FLOAT, shape=[0, 0]"
outputs,value.3,"dtype=INT64, shape=[0]"
outputs,value.11,"dtype=FLOAT, shape=[0, 0, 0, 0]"
outputs,value.7,"dtype=FLOAT, shape=[0, 0, 0]"
outputs,value,"dtype=FLOAT, shape=[0]"
outputs,onnx::Split_321,"dtype=INT64, shape=[2]"
