File Name,Model,Node Count,Input Count,Output Count,Num Params,Model Size
faster_rcnn_R_101_C4_3x,faster_rcnn_R_101_C4_3x.onnx,812,1,4,52784220,201.35581970214844
faster_rcnn_R_101_FPN_3x,faster_rcnn_R_101_FPN_3x.onnx,1895,1,4,60692512,231.5235595703125
faster_rcnn_R_50_C4,faster_rcnn_R_50_C4.onnx,693,1,4,33203504,126.66131591796875
faster_rcnn_R_50_C4_1x,faster_rcnn_R_50_C4_1x.onnx,693,1,4,33818204,129.00621032714844
faster_rcnn_R_50_C4_3x,faster_rcnn_R_50_C4_3x.onnx,693,1,4,33818204,129.00621032714844
faster_rcnn_R_50_DC5_1x,faster_rcnn_R_50_DC5_1x.onnx,697,1,4,165608028,631.7444915771484
faster_rcnn_R_50_DC5_3x,faster_rcnn_R_50_DC5_3x.onnx,707,1,4,165596252,631.6995697021484
faster_rcnn_R_50_FPN_1x,faster_rcnn_R_50_FPN_1x.onnx,1776,1,4,41726496,159.1739501953125
faster_rcnn_R_50_FPN_3x,faster_rcnn_R_50_FPN_3x.onnx,1776,1,4,41726496,159.1739501953125
faster_rcnn_X_101_32x8d_FPN_3x,faster_rcnn_X_101_32x8d_FPN_3x.onnx,1895,1,4,104885920,400.1080322265625
keypoint_rcnn_R_101_FPN_3x,keypoint_rcnn_R_101_FPN_3x.onnx,2141,1,6,78125734,298.0260238647461
keypoint_rcnn_R_50_FPN_1x,keypoint_rcnn_R_50_FPN_1x.onnx,2022,1,6,59159718,225.6764144897461
keypoint_rcnn_R_50_FPN_3x,keypoint_rcnn_R_50_FPN_3x.onnx,2022,1,6,59159718,225.6764144897461
keypoint_rcnn_X_101_32x8d_FPN_3x,keypoint_rcnn_X_101_32x8d_FPN_3x.onnx,2141,1,6,122319142,466.6104965209961
mask_rcnn_R_101_C4_3x,mask_rcnn_R_101_C4_3x.onnx,936,1,5,54902188,209.4352264404297
mask_rcnn_R_101_FPN_1x,mask_rcnn_R_101_FPN_1x.onnx,2125,1,5,69525092,265.21717834472656
mask_rcnn_R_101_FPN_3x,mask_rcnn_R_101_FPN_3x.onnx,2125,1,5,63335792,241.60687255859375
mask_rcnn_R_50_C4_1x,mask_rcnn_R_50_C4_1x.onnx,817,1,5,35936172,137.0856170654297
mask_rcnn_R_50_C4_3x,mask_rcnn_R_50_C4_3x.onnx,817,1,5,35936172,137.0856170654297
mask_rcnn_R_50_DC5_1x,mask_rcnn_R_50_DC5_1x.onnx,787,1,5,172380076,657.5778045654297
mask_rcnn_R_50_DC5_3x,mask_rcnn_R_50_DC5_3x.onnx,787,1,5,172380076,657.5778045654297
mask_rcnn_R_50_FPN,mask_rcnn_R_50_FPN.onnx,2006,1,5,43982272,167.779052734375
mask_rcnn_R_50_FPN_1x,mask_rcnn_R_50_FPN_1x.onnx,2006,1,5,44369776,169.25726318359375
mask_rcnn_R_50_FPN_1x,mask_rcnn_R_50_FPN_1x.onnx,2006,1,5,50559076,192.86756896972656
mask_rcnn_R_50_FPN_3x,mask_rcnn_R_50_FPN_3x.onnx,2006,1,5,44369776,169.25726318359375
mask_rcnn_X_101_32x8d_FPN_3x,mask_rcnn_X_101_32x8d_FPN_3x.onnx,2125,1,5,107529200,410.19134521484375
panoptic_fpn_R_101_3x,panoptic_fpn_R_101_3x.onnx,2125,1,5,63335792,241.60687255859375
panoptic_fpn_R_50_1x,panoptic_fpn_R_50_1x.onnx,2006,1,5,44369776,169.25726318359375
panoptic_fpn_R_50_3x,panoptic_fpn_R_50_3x.onnx,2006,1,5,44369776,169.25726318359375
retinanet_R_101_FPN_3x,retinanet_R_101_FPN_3x.onnx,1709,1,4,56908148,217.0873565673828
retinanet_R_50_FPN_1x,retinanet_R_50_FPN_1x.onnx,1590,1,4,37942132,144.7377471923828
retinanet_R_50_FPN_3x,retinanet_R_50_FPN_3x.onnx,1590,1,4,37942132,144.7377471923828
rpn_R_50_C4_1x,rpn_R_50_C4_1x.onnx,705,1,3,18043083,68.82889938354492
