section,key,value
summary,model,./onnx_ckpts/mmdet/dynamic/yolov3_d53_8xb8-amp-ms-608-273e_coco.onnx
summary,node_count,485
summary,input_count,1
summary,output_count,2
summary,num_params,61922919
summary,model_size,236.21718978881836
parameter_data_types,FLOAT,61922891
parameter_data_types,INT64,28
operators,Conv,"count=75, percentage=15.463917525773196"
operators,LeakyRelu,"count=72, percentage=14.845360824742269"
operators,Add,"count=47, percentage=9.690721649484537"
operators,Resize,"count=2, percentage=0.4123711340206186"
operators,Concat,"count=30, percentage=6.185567010309279"
operators,Shape,"count=24, percentage=4.948453608247423"
operators,Gather,"count=53, percentage=10.927835051546392"
operators,Range,"count=8, percentage=1.6494845360824744"
operators,Mul,"count=27, percentage=5.567010309278351"
operators,Unsqueeze,"count=39, percentage=8.041237113402062"
operators,Tile,"count=8, percentage=1.6494845360824744"
operators,Reshape,"count=24, percentage=4.948453608247423"
operators,Cast,"count=3, percentage=0.6185567010309279"
operators,Transpose,"count=5, percentage=1.0309278350515463"
operators,Slice,"count=24, percentage=4.948453608247423"
operators,Sigmoid,"count=9, percentage=1.8556701030927836"
operators,Sub,"count=12, percentage=2.4742268041237114"
operators,Exp,"count=3, percentage=0.6185567010309279"
operators,ReduceMax,"count=1, percentage=0.2061855670103093"
operators,Less,"count=2, percentage=0.4123711340206186"
operators,Where,"count=4, percentage=0.8247422680412372"
operators,TopK,"count=2, percentage=0.4123711340206186"
operators,Flatten,"count=6, percentage=1.2371134020618557"
operators,NonMaxSuppression,"count=1, percentage=0.2061855670103093"
operators,Expand,"count=1, percentage=0.2061855670103093"
operators,Equal,"count=1, percentage=0.2061855670103093"
operators,ConstantOfShape,"count=2, percentage=0.4123711340206186"
inputs,input,"dtype=FLOAT, shape=[0, 3, 0, 0]"
outputs,dets,"dtype=FLOAT, shape=[0, 0, 0]"
outputs,labels,"dtype=INT64, shape=[0, 0]"
