File Name,Model,Node Count,Input Count,Output Count,Num Params,Model Size
ppyoloe_plus_m_fast_8xb8-80e_coco,ppyoloe_plus_m_fast_8xb8-80e_coco.onnx,613,1,2,23413554,89.31562042236328
ppyoloe_plus_s_fast_8xb8-80e_coco,ppyoloe_plus_s_fast_8xb8-80e_coco.onnx,541,1,2,7918114,30.20520782470703
ppyoloe_plus_x_fast_8xb8-80e_coco,ppyoloe_plus_x_fast_8xb8-80e_coco.onnx,757,1,2,98395138,375.34766387939453
rtmdet_l_syncbn_fast_8xb32-300e_coco,rtmdet_l_syncbn_fast_8xb32-300e_coco.onnx,703,1,2,56994555,217.41697311401367
rtmdet_m_syncbn_fast_8xb32-300e_coco,rtmdet_m_syncbn_fast_8xb32-300e_coco.onnx,608,1,2,27339139,104.2905387878418
rtmdet_s_syncbn_fast_8xb32-300e_coco,rtmdet_s_syncbn_fast_8xb32-300e_coco.onnx,513,1,2,10054155,38.35355758666992
rtmdet_tiny_syncbn_fast_8xb32-300e_coco,rtmdet_tiny_syncbn_fast_8xb32-300e_coco.onnx,493,1,2,5550847,21.174800872802734
rtmdet_x_syncbn_fast_8xb32-300e_coco,rtmdet_x_syncbn_fast_8xb32-300e_coco.onnx,798,1,2,102169203,389.74457931518555
yolov5_l-p6-v62_syncbn_fast_8xb16-300e_coco,yolov5_l-p6-v62_syncbn_fast_8xb16-300e_coco.onnx,818,1,2,76726418,292.6880569458008
yolov5_l-v61_fast_1xb32-50e_voc,yolov5_l-v61_fast_1xb32-50e_voc.onnx,666,1,2,46210666,176.27970123291016
yolov5_l-v61_syncbn_fast_8xb16-300e_coco,yolov5_l-v61_syncbn_fast_8xb16-300e_coco.onnx,666,1,2,46533766,177.5122299194336
yolov5_m-p6-v62_syncbn_fast_8xb16-300e_coco,yolov5_m-p6-v62_syncbn_fast_8xb16-300e_coco.onnx,726,1,2,35704994,136.20374298095703
yolov5_m-v61_fast_1xb64-50e_voc,yolov5_m-v61_fast_1xb64-50e_voc.onnx,593,1,2,20929786,79.8407974243164
yolov5_n-p6-v62_syncbn_fast_8xb16-300e_coco,yolov5_n-p6-v62_syncbn_fast_8xb16-300e_coco.onnx,634,1,2,3239970,12.359504699707031
yolov5_n-v61_fast_1xb64-50e_voc,yolov5_n-v61_fast_1xb64-50e_voc.onnx,520,1,2,1786298,6.814186096191406
yolov5_n-v61_syncbn_fast_8xb16-300e_coco,yolov5_n-v61_syncbn_fast_8xb16-300e_coco.onnx,520,1,2,1867478,7.123863220214844
yolov5_s-p6-v62_syncbn_fast_8xb16-300e_coco,yolov5_s-p6-v62_syncbn_fast_8xb16-300e_coco.onnx,634,1,2,12612594,48.11322784423828
yolov5_s-v61_fast_1xb64-50e_voc,yolov5_s-v61_fast_1xb64-50e_voc.onnx,520,1,2,7064138,26.947547912597656
yolov5_s-v61_syncbn_fast_8xb16-300e_coco,yolov5_s-v61_syncbn_fast_8xb16-300e_coco.onnx,520,1,2,7225958,27.564842224121094
yolov6_m_syncbn_fast_8xb32-300e_coco,yolov6_m_syncbn_fast_8xb32-300e_coco.onnx,493,1,2,34243257,130.62765884399414
yolov6_n_syncbn_fast_8xb32-400e_coco,yolov6_n_syncbn_fast_8xb32-400e_coco.onnx,353,1,2,4317240,16.468963623046875
yolov6_s_syncbn_fast_8xb32-400e_coco,yolov6_s_syncbn_fast_8xb32-400e_coco.onnx,353,1,2,17220440,65.69076538085938
yolov6_t_syncbn_fast_8xb32-400e_coco,yolov6_t_syncbn_fast_8xb32-400e_coco.onnx,353,1,2,9695560,36.985626220703125
yolov7_e-p6_syncbn_fast_8x16b-300e_coco,yolov7_e-p6_syncbn_fast_8x16b-300e_coco.onnx,866,1,2,97207248,370.81622314453125
yolov7_l_syncbn_fast_8x16b-300e_coco,yolov7_l_syncbn_fast_8x16b-300e_coco.onnx,624,1,2,36907971,140.7927360534668
yolov7_tiny_syncbn_fast_8x16b-300e_coco,yolov7_tiny_syncbn_fast_8x16b-300e_coco.onnx,462,1,2,6221443,23.732921600341797
yolov7_w-p6_syncbn_fast_8x16b-300e_coco,yolov7_w-p6_syncbn_fast_8x16b-300e_coco.onnx,739,1,2,70397968,268.54693603515625
yolov7_x_syncbn_fast_8x16b-300e_coco,yolov7_x_syncbn_fast_8x16b-300e_coco.onnx,672,1,2,71314819,272.0444450378418
