section,key,value
summary,model,./darknet53.onnx
summary,node_count,130
summary,input_count,1
summary,output_count,1
summary,num_params,41592072
summary,model_size,158.69445514678955
parameter_data_types,FLOAT,41592072
operators,Conv,"count=52, percentage=40.0"
operators,LeakyRelu,"count=52, percentage=40.0"
operators,Add,"count=23, percentage=17.692307692307693"
operators,GlobalAveragePool,"count=1, percentage=0.7692307692307693"
operators,Flatten,"count=1, percentage=0.7692307692307693"
operators,Gemm,"count=1, percentage=0.7692307692307693"
inputs,input,"dtype=FLOAT, shape=[0, 3, 256, 256]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
