section,key,value
summary,model,./efficientnet_b2_pruned.onnx
summary,node_count,736
summary,input_count,1
summary,output_count,1
summary,num_params,8281660
summary,model_size,31.736488342285156
parameter_data_types,FLOAT,8281660
operators,Shape,"count=15, percentage=2.0380434782608696"
operators,Constant,"count=125, percentage=16.983695652173914"
operators,Gather,"count=15, percentage=2.0380434782608696"
operators,Cast,"count=50, percentage=6.7934782608695645"
operators,Div,"count=20, percentage=2.717391304347826"
operators,Ceil,"count=10, percentage=1.358695652173913"
operators,Sub,"count=35, percentage=4.755434782608696"
operators,Mul,"count=102, percentage=13.858695652173914"
operators,Add,"count=36, percentage=4.891304347826087"
operators,Clip,"count=10, percentage=1.358695652173913"
operators,Unsqueeze,"count=40, percentage=5.434782608695652"
operators,Concat,"count=15, percentage=2.0380434782608696"
operators,ConstantOfShape,"count=5, percentage=0.6793478260869565"
operators,Reshape,"count=10, percentage=1.358695652173913"
operators,Slice,"count=5, percentage=0.6793478260869565"
operators,Transpose,"count=5, percentage=0.6793478260869565"
operators,Pad,"count=5, percentage=0.6793478260869565"
operators,Conv,"count=115, percentage=15.625"
operators,Sigmoid,"count=92, percentage=12.5"
operators,ReduceMean,"count=23, percentage=3.125"
operators,GlobalAveragePool,"count=1, percentage=0.1358695652173913"
operators,Flatten,"count=1, percentage=0.1358695652173913"
operators,Gemm,"count=1, percentage=0.1358695652173913"
inputs,input,"dtype=FLOAT, shape=[0, 3, 260, 260]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
