section,key,value
summary,model,./efficientnetv2_rw_m.onnx
summary,node_count,774
summary,input_count,1
summary,output_count,1
summary,num_params,53082826
summary,model_size,202.67828464508057
parameter_data_types,FLOAT,53082826
operators,Conv,"count=263, percentage=33.97932816537468"
operators,Sigmoid,"count=203, percentage=26.22739018087855"
operators,Mul,"count=203, percentage=26.22739018087855"
operators,Add,"count=55, percentage=7.10594315245478"
operators,ReduceMean,"count=47, percentage=6.072351421188631"
operators,GlobalAveragePool,"count=1, percentage=0.12919896640826875"
operators,Flatten,"count=1, percentage=0.12919896640826875"
operators,Gemm,"count=1, percentage=0.12919896640826875"
inputs,input,"dtype=FLOAT, shape=[0, 3, 320, 320]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
