section,key,value
summary,model,./ese_vovnet19b_dw.onnx
summary,node_count,86
summary,input_count,1
summary,output_count,1
summary,num_params,6537512
summary,model_size,24.96380043029785
parameter_data_types,FLOAT,6537512
operators,Conv,"count=41, percentage=47.674418604651166"
operators,Relu,"count=23, percentage=26.744186046511626"
operators,Concat,"count=4, percentage=4.651162790697675"
operators,ReduceMean,"count=4, percentage=4.651162790697675"
operators,HardSigmoid,"count=4, percentage=4.651162790697675"
operators,Mul,"count=4, percentage=4.651162790697675"
operators,MaxPool,"count=3, percentage=3.488372093023256"
operators,GlobalAveragePool,"count=1, percentage=1.1627906976744187"
operators,Flatten,"count=1, percentage=1.1627906976744187"
operators,Gemm,"count=1, percentage=1.1627906976744187"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
