section,key,value
summary,model,./hardcorenas_f.onnx
summary,node_count,226
summary,input_count,1
summary,output_count,1
summary,num_params,8181000
summary,model_size,31.262885093688965
parameter_data_types,FLOAT,8181000
operators,Conv,"count=85, percentage=37.610619469026545"
operators,HardSigmoid,"count=43, percentage=19.02654867256637"
operators,Mul,"count=43, percentage=19.02654867256637"
operators,Relu,"count=25, percentage=11.061946902654867"
operators,ReduceMean,"count=16, percentage=7.079646017699115"
operators,Add,"count=11, percentage=4.867256637168142"
operators,GlobalAveragePool,"count=1, percentage=0.4424778761061947"
operators,Flatten,"count=1, percentage=0.4424778761061947"
operators,Gemm,"count=1, percentage=0.4424778761061947"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
