section,key,value
summary,model,./lambda_resnet26rpt_256.onnx
summary,node_count,293
summary,input_count,1
summary,output_count,1
summary,num_params,11047712
summary,model_size,42.47323513031006
parameter_data_types,FLOAT,10978072
parameter_data_types,INT64,69640
operators,Identity,"count=4, percentage=1.3651877133105803"
operators,Conv,"count=31, percentage=10.580204778156997"
operators,Relu,"count=27, percentage=9.215017064846416"
operators,MaxPool,"count=1, percentage=0.3412969283276451"
operators,Add,"count=11, percentage=3.754266211604096"
operators,Shape,"count=15, percentage=5.1194539249146755"
operators,Constant,"count=40, percentage=13.651877133105803"
operators,Gather,"count=15, percentage=5.1194539249146755"
operators,Mul,"count=6, percentage=2.04778156996587"
operators,Split,"count=3, percentage=1.023890784982935"
operators,BatchNormalization,"count=9, percentage=3.0716723549488054"
operators,Unsqueeze,"count=45, percentage=15.358361774744028"
operators,Concat,"count=15, percentage=5.1194539249146755"
operators,Reshape,"count=21, percentage=7.167235494880546"
operators,Transpose,"count=12, percentage=4.09556313993174"
operators,Softmax,"count=3, percentage=1.023890784982935"
operators,MatMul,"count=12, percentage=4.09556313993174"
operators,Flatten,"count=4, percentage=1.3651877133105803"
operators,ConstantOfShape,"count=3, percentage=1.023890784982935"
operators,Equal,"count=3, percentage=1.023890784982935"
operators,Where,"count=3, percentage=1.023890784982935"
operators,Expand,"count=3, percentage=1.023890784982935"
operators,Squeeze,"count=3, percentage=1.023890784982935"
operators,Pad,"count=1, percentage=0.3412969283276451"
operators,AveragePool,"count=1, percentage=0.3412969283276451"
operators,GlobalAveragePool,"count=1, percentage=0.3412969283276451"
operators,Gemm,"count=1, percentage=0.3412969283276451"
inputs,input,"dtype=FLOAT, shape=[0, 3, 256, 256]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
