section,key,value
summary,model,./lcnet_050.onnx
summary,node_count,99
summary,input_count,1
summary,output_count,1
summary,num_params,1878120
summary,model_size,7.187188148498535
parameter_data_types,FLOAT,1878120
operators,Conv,"count=32, percentage=32.323232323232325"
operators,HardSigmoid,"count=30, percentage=30.303030303030305"
operators,Mul,"count=30, percentage=30.303030303030305"
operators,ReduceMean,"count=2, percentage=2.0202020202020203"
operators,Relu,"count=2, percentage=2.0202020202020203"
operators,GlobalAveragePool,"count=1, percentage=1.0101010101010102"
operators,Flatten,"count=1, percentage=1.0101010101010102"
operators,Gemm,"count=1, percentage=1.0101010101010102"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
