section,key,value
summary,model,./legacy_xception.onnx
summary,node_count,128
summary,input_count,1
summary,output_count,1
summary,num_params,22828688
summary,model_size,87.11096382141113
parameter_data_types,FLOAT,22828688
operators,Conv,"count=74, percentage=57.8125"
operators,Relu,"count=35, percentage=27.34375"
operators,MaxPool,"count=4, percentage=3.125"
operators,Add,"count=12, percentage=9.375"
operators,GlobalAveragePool,"count=1, percentage=0.78125"
operators,Flatten,"count=1, percentage=0.78125"
operators,Gemm,"count=1, percentage=0.78125"
inputs,input,"dtype=FLOAT, shape=[0, 3, 299, 299]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
