section,key,value
summary,model,./regnety_032.onnx
summary,node_count,282
summary,input_count,1
summary,output_count,1
summary,num_params,19403258
summary,model_size,74.06478977203369
parameter_data_types,FLOAT,19403258
operators,Conv,"count=110, percentage=39.00709219858156"
operators,Relu,"count=85, percentage=30.141843971631204"
operators,ReduceMean,"count=21, percentage=7.446808510638298"
operators,Sigmoid,"count=21, percentage=7.446808510638298"
operators,Mul,"count=21, percentage=7.446808510638298"
operators,Add,"count=21, percentage=7.446808510638298"
operators,GlobalAveragePool,"count=1, percentage=0.3546099290780142"
operators,Flatten,"count=1, percentage=0.3546099290780142"
operators,Gemm,"count=1, percentage=0.3546099290780142"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
