section,key,value
summary,model,./tf_efficientnetv2_b3.onnx
summary,node_count,796
summary,input_count,1
summary,output_count,1
summary,num_params,14303798
summary,model_size,54.72357749938965
parameter_data_types,FLOAT,14303798
operators,Shape,"count=15, percentage=1.8844221105527637"
operators,Constant,"count=125, percentage=15.7035175879397"
operators,Gather,"count=15, percentage=1.8844221105527637"
operators,Cast,"count=50, percentage=6.281407035175879"
operators,Div,"count=20, percentage=2.512562814070352"
operators,Ceil,"count=10, percentage=1.256281407035176"
operators,Sub,"count=35, percentage=4.396984924623116"
operators,Mul,"count=116, percentage=14.572864321608039"
operators,Add,"count=46, percentage=5.778894472361809"
operators,Clip,"count=10, percentage=1.256281407035176"
operators,Unsqueeze,"count=40, percentage=5.025125628140704"
operators,Concat,"count=15, percentage=1.8844221105527637"
operators,ConstantOfShape,"count=5, percentage=0.628140703517588"
operators,Reshape,"count=10, percentage=1.256281407035176"
operators,Slice,"count=5, percentage=0.628140703517588"
operators,Transpose,"count=5, percentage=0.628140703517588"
operators,Pad,"count=5, percentage=0.628140703517588"
operators,Conv,"count=136, percentage=17.08542713567839"
operators,Sigmoid,"count=106, percentage=13.316582914572864"
operators,ReduceMean,"count=24, percentage=3.015075376884422"
operators,GlobalAveragePool,"count=1, percentage=0.12562814070351758"
operators,Flatten,"count=1, percentage=0.12562814070351758"
operators,Gemm,"count=1, percentage=0.12562814070351758"
inputs,input,"dtype=FLOAT, shape=[0, 3, 240, 240]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
