section,key,value
summary,model,./tf_mobilenetv3_small_075.onnx
summary,node_count,536
summary,input_count,1
summary,output_count,1
summary,num_params,2037032
summary,model_size,7.86875057220459
parameter_data_types,FLOAT,2037032
operators,Shape,"count=15, percentage=2.798507462686567"
operators,Constant,"count=125, percentage=23.32089552238806"
operators,Gather,"count=15, percentage=2.798507462686567"
operators,Cast,"count=50, percentage=9.328358208955224"
operators,Div,"count=20, percentage=3.731343283582089"
operators,Ceil,"count=10, percentage=1.8656716417910446"
operators,Sub,"count=35, percentage=6.529850746268656"
operators,Mul,"count=38, percentage=7.08955223880597"
operators,Add,"count=26, percentage=4.850746268656716"
operators,Clip,"count=10, percentage=1.8656716417910446"
operators,Unsqueeze,"count=40, percentage=7.462686567164178"
operators,Concat,"count=15, percentage=2.798507462686567"
operators,ConstantOfShape,"count=5, percentage=0.9328358208955223"
operators,Reshape,"count=10, percentage=1.8656716417910446"
operators,Slice,"count=5, percentage=0.9328358208955223"
operators,Transpose,"count=5, percentage=0.9328358208955223"
operators,Pad,"count=5, percentage=0.9328358208955223"
operators,Conv,"count=53, percentage=9.888059701492537"
operators,HardSigmoid,"count=28, percentage=5.223880597014925"
operators,Relu,"count=14, percentage=2.6119402985074625"
operators,ReduceMean,"count=9, percentage=1.6791044776119404"
operators,GlobalAveragePool,"count=1, percentage=0.18656716417910446"
operators,Flatten,"count=1, percentage=0.18656716417910446"
operators,Gemm,"count=1, percentage=0.18656716417910446"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
