section,key,value
summary,model,torchvision/mobilenet_v3_small.onnx
summary,node_count,178
summary,input_count,1
summary,output_count,1
summary,num_params,2529712
summary,model_size,9.68844223022461
parameter_data_types,FLOAT,2529712
operators,Identity,"count=37, percentage=20.786516853932586"
operators,Conv,"count=52, percentage=29.213483146067414"
operators,HardSigmoid,"count=28, percentage=15.730337078651685"
operators,Mul,"count=28, percentage=15.730337078651685"
operators,Relu,"count=14, percentage=7.865168539325842"
operators,GlobalAveragePool,"count=10, percentage=5.617977528089887"
operators,Add,"count=6, percentage=3.3707865168539324"
operators,Flatten,"count=1, percentage=0.5617977528089888"
operators,Gemm,"count=2, percentage=1.1235955056179776"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
